seq,timestamp_ms,rate_hz,n_samples,servo_a,servo_b,servo_c,servo_AB,servo_BC,wav,crc_ok
1,4296,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000001.wav,1
2,9296,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000002.wav,1
3,14296,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000003.wav,1
4,19296,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000004.wav,1
5,24296,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000005.wav,1
1,34479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000001.wav,1
2,39479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000002.wav,1
3,44479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000003.wav,1
4,49479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000004.wav,1
5,54479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000005.wav,1
6,59479,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000006.wav,1
1,12204,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000001.wav,1
2,17204,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000002.wav,1
1,4309,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000001.wav,1
2,9309,16000,40000,0.0,0.0,0.0,0.0,0.0,frame_000002.wav,1
