Device,DevicePin,Direction,Bus,MCU_Function,FRDM_Header,FRDM_HeaderPin,Voltage,Notes
# === Power rails ===
PowerRail,3V3,PWR,-,-,J1,4,3.3V,From FRDM onboard LDO
PowerRail,5V,PWR,-,-,J1,5,5V,From USB-C / DC IN
PowerRail,GND,PWR,-,-,J1,6 / 7,0V,Common ground (must tie servo external 5V GND here)
# === I2S MIC (INMP441, SAI1 RX) ===
INMP441,VDD,PWR,-,3V3,SAI_PMOD,1,3.3V,
INMP441,GND,PWR,-,GND,SAI_PMOD,2,0V,
INMP441,L/R,IN,-,GND,SAI_PMOD,3,0V,Tie to GND to select left channel
INMP441,WS,IN,I2S,SAI1_RX_SYNC (FS/LRCLK),SAI_PMOD,4,3.3V,Pin to be set in pin_mux.c
INMP441,SCK,IN,I2S,SAI1_RX_BCLK,SAI_PMOD,5,3.3V,Pin to be set in pin_mux.c
INMP441,SD,OUT,I2S,SAI1_RX_DATA,SAI_PMOD,6,3.3V,Pin to be set in pin_mux.c
# === I2S DAC + Amp (MAX98357A, SAI0 TX) ===
MAX98357A,VIN,PWR,-,5V,SAI_PMOD,7,5V,3.2W class-D amp
MAX98357A,GND,PWR,-,GND,SAI_PMOD,8,0V,
MAX98357A,BCLK,IN,I2S,SAI0_TX_BCLK,SAI_PMOD,9,3.3V,
MAX98357A,LRC,IN,I2S,SAI0_TX_SYNC,SAI_PMOD,10,3.3V,
MAX98357A,DIN,IN,I2S,SAI0_TX_DATA,SAI_PMOD,11,3.3V,
MAX98357A,GAIN,IN,-,GND (3 dB) for 0.25 W demo speaker,SAI_PMOD,12,0V,Demo build pins GAIN to GND so peak output stays below 0.25 W. v1+ with 1-3 W driver can float (9 dB).
MAX98357A,SD,IN,-,3V3 (always on) or GPIO,SAI_PMOD,13,3.3V,Optional MCU enable line
MAX98357A,SPK+,OUT,Analog,-,EXT_CONN,SP1,-,To 8 ohm speaker +
MAX98357A,SPK-,OUT,Analog,-,EXT_CONN,SP2,-,To 8 ohm speaker -
# === Speaker ===
Speaker,+,IN,Analog,From MAX98357A SPK+,EXT_CONN,SP1,-,8 ohm 0.25 W fullrange 45 mm (demo build). v1+ wants 1-3 W per spec.html §6.
Speaker,-,IN,Analog,From MAX98357A SPK-,EXT_CONN,SP2,-,
# === I2C bus #1 (FC4): PCA9685 + SSD1306 + BMP585 ===
I2CBus_FC4,SDA,BIDIR,I2C,FC4_I2C_SDA,J4 (Arduino),D14,3.3V,Pull-up 4.7k to 3.3V (one set for whole bus)
I2CBus_FC4,SCL,IN,I2C,FC4_I2C_SCL,J4 (Arduino),D15,3.3V,Pull-up 4.7k to 3.3V
# === PCA9685 (I2C 0x40 servo driver) ===
PCA9685,VCC,PWR,-,3V3,-,-,3.3V,Logic supply
PCA9685,V+,PWR,-,5V (ext) / VBUS,-,-,5V,Servo motor supply (high current)
PCA9685,GND,PWR,-,GND,-,-,0V,
PCA9685,SDA,BIDIR,I2C,I2CBus_FC4 SDA,-,-,3.3V,
PCA9685,SCL,IN,I2C,I2CBus_FC4 SCL,-,-,3.3V,
PCA9685,A0..A5,IN,-,GND,-,-,0V,All low = I2C address 0x40
PCA9685,OE,IN,-,GND,-,-,0V,Active-low output enable
PCA9685,PWM0,OUT,PWM,-,PCA_OUT0,-,-,To servo: window a
PCA9685,PWM1,OUT,PWM,-,PCA_OUT1,-,-,To servo: window b
PCA9685,PWM2,OUT,PWM,-,PCA_OUT2,-,-,To servo: window c
PCA9685,PWM3,OUT,PWM,-,PCA_OUT3,-,-,To servo: door AB
PCA9685,PWM4,OUT,PWM,-,PCA_OUT4,-,-,To servo: door BC
# === SG90 servos x5 ===
Servo_WindowA,Signal,IN,PWM,PCA9685 PWM0,JST-XH 3p,SIG,3.3V,Yellow wire
Servo_WindowA,V+,PWR,-,5V (servo rail),JST-XH 3p,V+,5V,Red wire
Servo_WindowA,GND,PWR,-,GND,JST-XH 3p,GND,0V,Brown/black wire
Servo_WindowB,Signal,IN,PWM,PCA9685 PWM1,JST-XH 3p,SIG,3.3V,
Servo_WindowB,V+,PWR,-,5V (servo rail),JST-XH 3p,V+,5V,
Servo_WindowB,GND,PWR,-,GND,JST-XH 3p,GND,0V,
Servo_WindowC,Signal,IN,PWM,PCA9685 PWM2,JST-XH 3p,SIG,3.3V,
Servo_WindowC,V+,PWR,-,5V (servo rail),JST-XH 3p,V+,5V,
Servo_WindowC,GND,PWR,-,GND,JST-XH 3p,GND,0V,
Servo_DoorAB,Signal,IN,PWM,PCA9685 PWM3,JST-XH 3p,SIG,3.3V,
Servo_DoorAB,V+,PWR,-,5V (servo rail),JST-XH 3p,V+,5V,
Servo_DoorAB,GND,PWR,-,GND,JST-XH 3p,GND,0V,
Servo_DoorBC,Signal,IN,PWM,PCA9685 PWM4,JST-XH 3p,SIG,3.3V,
Servo_DoorBC,V+,PWR,-,5V (servo rail),JST-XH 3p,V+,5V,
Servo_DoorBC,GND,PWR,-,GND,JST-XH 3p,GND,0V,
# === ILI9341 240x320 RGB565 TFT (SPI FC3, shared bus with microSD) ===
ILI9341,VCC,PWR,-,3V3,-,-,3.3V,2.4-2.8 inch TFT module
ILI9341,GND,PWR,-,GND,-,-,0V,
ILI9341,CS,IN,GPIO,GPIO (TFT chip select),J1 (Arduino),A2,3.3V,Active low; separate from microSD CS
ILI9341,RESET,IN,GPIO,GPIO (hard reset),J1 (Arduino),A3,3.3V,Low pulse on init
ILI9341,DC,IN,GPIO,GPIO (data/cmd),J1 (Arduino),A4,3.3V,Low=command, high=data
ILI9341,SDI/MOSI,IN,SPI,FC3_SPI_MOSI,J4 (Arduino),D11,3.3V,Shared with microSD
ILI9341,SCK,IN,SPI,FC3_SPI_SCK,J4 (Arduino),D13,3.3V,Shared with microSD
ILI9341,SDO/MISO,OUT,SPI,-,J4 (Arduino),D12,3.3V,Not connected (write-only driver)
ILI9341,LED/BL,IN,GPIO,GPIO (or PWM),J1 (Arduino),A5,3.3V,Backlight: tie to 3V3 or GPIO control
# === BMP585 (I2C 0x47, auxiliary pressure sensor) ===
BMP585,VDD,PWR,-,3V3,-,-,3.3V,
BMP585,VDDIO,PWR,-,3V3,-,-,3.3V,
BMP585,GND,PWR,-,GND,-,-,0V,
