epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.0787,0.3156,1.2340,0.5598,8.8
2,1.1471,0.6180,0.6123,0.7844,17.1
3,0.6968,0.7649,0.3520,0.8986,25.3
4,0.4611,0.8550,0.1944,0.9665,34.0
5,0.3128,0.9212,0.0938,0.9909,42.7
6,0.2203,0.9466,0.0384,0.9991,51.0
7,0.1814,0.9532,0.0243,1.0000,59.1
8,0.1466,0.9635,0.0197,0.9991,67.4
9,0.1185,0.9709,0.0112,1.0000,75.8
10,0.1246,0.9653,0.0138,1.0000,84.1
11,0.1010,0.9717,0.0085,1.0000,92.4
12,0.0962,0.9748,0.0060,1.0000,100.6
13,0.0877,0.9765,0.0038,1.0000,108.9
14,0.0746,0.9798,0.0070,1.0000,117.3
15,0.0746,0.9814,0.0048,1.0000,125.7
16,0.0786,0.9767,0.0027,1.0000,133.9
17,0.0722,0.9783,0.0227,0.9882,142.0
18,0.0606,0.9819,0.0022,1.0000,150.4
19,0.0806,0.9755,0.0024,1.0000,159.0
20,0.0733,0.9752,0.0027,1.0000,167.2
21,0.0641,0.9804,0.0021,1.0000,175.7
22,0.0590,0.9852,0.0014,1.0000,184.6
23,0.0617,0.9833,0.0023,1.0000,192.9
24,0.0505,0.9852,0.0024,1.0000,201.1
25,0.0541,0.9825,0.0010,1.0000,209.4
26,0.0501,0.9837,0.0022,1.0000,217.7
27,0.0512,0.9849,0.0026,1.0000,226.0
28,0.0634,0.9800,0.0016,1.0000,234.3
29,0.0591,0.9798,0.0009,1.0000,242.6
30,0.0415,0.9878,0.0004,1.0000,250.9
31,0.0441,0.9874,0.0012,1.0000,259.1
32,0.0427,0.9858,0.0016,1.0000,267.4
33,0.0364,0.9878,0.0004,1.0000,275.7
34,0.0349,0.9909,0.0003,1.0000,283.8
35,0.0520,0.9847,0.0005,1.0000,291.9
36,0.0447,0.9852,0.0008,1.0000,300.1
37,0.0478,0.9806,0.0005,1.0000,308.5
38,0.0475,0.9837,0.0012,1.0000,322.6
39,0.0446,0.9854,0.0005,1.0000,343.2
40,0.0414,0.9866,0.0004,1.0000,362.2
41,0.0453,0.9852,0.0006,1.0000,380.7
42,0.0388,0.9876,0.0008,1.0000,399.4
43,0.0336,0.9897,0.0004,1.0000,420.1
44,0.0383,0.9878,0.0002,1.0000,440.6
45,0.0455,0.9847,0.0004,1.0000,459.3
46,0.0536,0.9810,0.0008,1.0000,480.0
47,0.0452,0.9856,0.0004,1.0000,499.9
48,0.0356,0.9876,0.0011,1.0000,519.0
49,0.0372,0.9868,0.0002,1.0000,537.7
50,0.0372,0.9882,0.0003,1.0000,550.1
51,0.0396,0.9872,0.0003,1.0000,563.6
52,0.0448,0.9862,0.0003,1.0000,581.3
53,0.0279,0.9905,0.0002,1.0000,598.9
54,0.0256,0.9930,0.0003,1.0000,616.7
55,0.0278,0.9926,0.0002,1.0000,634.4
56,0.0244,0.9917,0.0003,1.0000,652.1
57,0.0371,0.9878,0.0009,1.0000,669.8
58,0.0336,0.9876,0.0010,1.0000,687.8
59,0.0267,0.9911,0.0004,1.0000,706.6
60,0.0288,0.9901,0.0006,1.0000,724.7
