epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.0833,0.3164,1.2534,0.6150,34.1
2,1.1597,0.6184,0.6344,0.7708,42.1
3,0.6755,0.7729,0.3374,0.9230,50.0
4,0.4393,0.8663,0.2117,0.9402,58.0
5,0.2951,0.9284,0.0721,1.0000,66.0
6,0.2193,0.9482,0.0346,1.0000,74.0
7,0.1790,0.9544,0.0201,1.0000,82.0
8,0.1692,0.9532,0.0221,1.0000,90.0
9,0.1264,0.9701,0.0108,1.0000,99.4
10,0.1194,0.9697,0.0109,1.0000,107.6
11,0.1117,0.9664,0.0067,1.0000,115.8
12,0.1050,0.9713,0.0074,1.0000,123.9
13,0.0843,0.9773,0.0028,1.0000,132.1
14,0.0879,0.9742,0.0043,1.0000,140.2
15,0.0777,0.9781,0.0025,1.0000,148.2
16,0.0712,0.9802,0.0020,1.0000,156.1
17,0.0668,0.9825,0.0030,1.0000,164.1
18,0.0769,0.9767,0.0019,1.0000,172.1
19,0.0787,0.9783,0.0024,1.0000,180.4
20,0.0741,0.9765,0.0016,1.0000,188.4
21,0.0707,0.9777,0.0008,1.0000,196.4
22,0.0656,0.9808,0.0013,1.0000,204.5
23,0.0732,0.9781,0.0038,1.0000,212.7
24,0.0498,0.9862,0.0010,1.0000,220.9
25,0.0519,0.9849,0.0030,1.0000,229.0
26,0.0589,0.9825,0.0014,1.0000,237.1
