epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.1523,0.6108,0.2951,0.9118,46.7
2,0.2902,0.9148,0.0369,1.0000,86.6
3,0.1602,0.9521,0.0192,0.9993,127.0
4,0.1217,0.9620,0.0096,0.9998,167.3
5,0.1046,0.9672,0.0041,1.0000,207.4
6,0.0926,0.9700,0.0033,1.0000,247.8
7,0.0820,0.9731,0.0027,1.0000,288.1
8,0.0767,0.9741,0.0030,1.0000,329.0
9,0.0759,0.9748,0.0027,1.0000,369.6
10,0.0616,0.9785,0.0021,1.0000,409.8
11,0.0645,0.9790,0.0013,1.0000,449.9
12,0.0639,0.9781,0.0029,0.9998,490.3
13,0.0569,0.9805,0.0022,1.0000,530.4
14,0.0617,0.9785,0.0037,0.9993,570.7
15,0.0484,0.9839,0.0009,1.0000,611.1
16,0.0531,0.9819,0.0011,0.9998,651.6
17,0.0500,0.9827,0.0007,1.0000,691.9
18,0.0487,0.9836,0.0008,1.0000,732.0
19,0.0459,0.9850,0.0002,1.0000,771.6
20,0.0436,0.9855,0.0012,1.0000,811.3
21,0.0499,0.9825,0.0004,1.0000,851.4
22,0.0438,0.9847,0.0006,1.0000,891.3
23,0.0421,0.9859,0.0002,1.0000,931.4
24,0.0416,0.9868,0.0005,1.0000,971.3
25,0.0401,0.9865,0.0006,1.0000,1011.4
26,0.0369,0.9867,0.0006,1.0000,1051.2
27,0.0430,0.9855,0.0006,1.0000,1091.0
28,0.0358,0.9872,0.0005,1.0000,1130.3
29,0.0364,0.9871,0.0004,1.0000,1169.9
30,0.0383,0.9869,0.0004,1.0000,1209.9
31,0.0367,0.9869,0.0006,1.0000,1249.6
32,0.0341,0.9890,0.0004,1.0000,1289.7
33,0.0345,0.9886,0.0008,1.0000,1330.8
34,0.0318,0.9889,0.0002,1.0000,1371.5
35,0.0344,0.9877,0.0006,1.0000,1412.2
36,0.0317,0.9886,0.0003,1.0000,1452.1
37,0.0337,0.9886,0.0003,1.0000,1491.6
38,0.0309,0.9894,0.0001,1.0000,1531.2
39,0.0311,0.9899,0.0001,1.0000,1571.4
40,0.0301,0.9899,0.0003,1.0000,1611.2
41,0.0275,0.9908,0.0003,1.0000,1651.0
42,0.0289,0.9894,0.0004,1.0000,1691.0
43,0.0326,0.9886,0.0007,0.9996,1730.9
44,0.0308,0.9898,0.0003,1.0000,1770.8
45,0.0279,0.9902,0.0001,1.0000,1810.8
46,0.0286,0.9907,0.0002,1.0000,1850.4
47,0.0293,0.9901,0.0002,1.0000,1890.1
48,0.0264,0.9905,0.0003,1.0000,1930.4
49,0.0271,0.9914,0.0001,1.0000,1970.4
50,0.0279,0.9901,0.0002,1.0000,2010.5
51,0.0270,0.9902,0.0003,1.0000,2050.5
52,0.0282,0.9911,0.0001,1.0000,2090.6
53,0.0295,0.9903,0.0001,1.0000,2130.4
54,0.0273,0.9904,0.0001,1.0000,2170.3
55,0.0248,0.9918,0.0000,1.0000,2209.9
56,0.0261,0.9910,0.0002,1.0000,2249.3
57,0.0236,0.9921,0.0002,1.0000,2289.4
58,0.0264,0.9910,0.0000,1.0000,2329.1
59,0.0233,0.9924,0.0003,1.0000,2368.9
60,0.0246,0.9920,0.0000,1.0000,2408.8
