epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.1651,0.3203,1.2835,0.5775,6.9
2,1.2278,0.5894,0.6905,0.7963,13.7
3,0.7750,0.7542,0.3731,0.9097,20.3
4,0.5165,0.8430,0.2307,0.9676,27.2
5,0.3655,0.9087,0.1260,0.9850,34.2
6,0.2432,0.9472,0.0580,0.9988,40.8
7,0.1890,0.9620,0.0289,1.0000,47.6
8,0.1424,0.9712,0.0213,1.0000,54.5
9,0.1291,0.9707,0.0137,1.0000,61.3
10,0.1216,0.9717,0.0117,1.0000,68.1
11,0.0978,0.9762,0.0102,1.0000,74.8
12,0.1116,0.9687,0.0157,1.0000,81.5
13,0.0883,0.9787,0.0045,1.0000,88.2
14,0.0721,0.9821,0.0054,1.0000,95.1
15,0.0855,0.9772,0.0030,1.0000,101.8
16,0.0588,0.9861,0.0014,1.0000,108.5
17,0.0674,0.9824,0.0047,1.0000,115.2
18,0.0729,0.9799,0.0043,1.0000,121.9
19,0.0625,0.9839,0.0081,1.0000,128.5
20,0.0564,0.9849,0.0025,1.0000,135.2
21,0.0519,0.9861,0.0009,1.0000,142.0
22,0.0480,0.9878,0.0012,1.0000,148.6
23,0.0455,0.9873,0.0016,1.0000,155.3
24,0.0512,0.9854,0.0046,1.0000,162.0
25,0.0498,0.9834,0.0032,1.0000,168.7
26,0.0409,0.9896,0.0022,1.0000,175.4
27,0.0560,0.9854,0.0102,0.9977,182.0
28,0.0638,0.9797,0.0086,0.9988,188.7
29,0.0544,0.9834,0.0006,1.0000,195.4
30,0.0453,0.9869,0.0007,1.0000,202.0
31,0.0434,0.9891,0.0004,1.0000,208.6
32,0.0352,0.9903,0.0012,1.0000,215.3
33,0.0420,0.9873,0.0004,1.0000,221.8
34,0.0434,0.9864,0.0162,0.9907,228.5
35,0.0382,0.9891,0.0010,1.0000,235.0
36,0.0471,0.9844,0.0007,1.0000,241.7
37,0.0328,0.9888,0.0003,1.0000,248.3
38,0.0351,0.9893,0.0002,1.0000,255.0
39,0.0333,0.9916,0.0002,1.0000,261.6
40,0.0433,0.9844,0.0001,1.0000,268.3
41,0.0400,0.9886,0.0006,1.0000,275.0
42,0.0316,0.9891,0.0001,1.0000,281.6
43,0.0368,0.9891,0.0003,1.0000,288.3
44,0.0190,0.9953,0.0001,1.0000,294.9
45,0.0286,0.9908,0.0002,1.0000,301.6
46,0.0391,0.9883,0.0002,1.0000,308.1
47,0.0336,0.9896,0.0002,1.0000,314.7
48,0.0321,0.9911,0.0001,1.0000,321.3
49,0.0335,0.9888,0.0005,1.0000,327.9
50,0.0319,0.9911,0.0002,1.0000,334.5
51,0.0316,0.9928,0.0001,1.0000,341.1
52,0.0287,0.9926,0.0001,1.0000,347.7
53,0.0326,0.9901,0.0002,1.0000,354.4
54,0.0428,0.9861,0.0001,1.0000,361.0
55,0.0294,0.9883,0.0001,1.0000,367.6
56,0.0262,0.9911,0.0004,1.0000,374.1
57,0.0398,0.9888,0.0001,1.0000,380.7
58,0.0292,0.9913,0.0000,1.0000,387.2
59,0.0361,0.9888,0.0061,0.9965,393.8
60,0.0329,0.9908,0.0001,1.0000,400.5
2
