epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.2917,0.2922,1.3054,0.6232,84.9
2,1.3351,0.5155,0.6233,0.8002,136.0
3,0.9552,0.6537,0.2593,0.9735,187.1
4,0.8099,0.6974,0.1615,0.9767,238.6
5,0.7613,0.7102,0.1062,0.9892,289.9
6,0.7081,0.7312,0.0972,0.9900,341.2
7,0.6823,0.7388,0.0647,0.9998,392.7
8,0.6575,0.7470,0.0585,0.9992,444.2
9,0.6427,0.7507,0.0429,0.9997,495.5
10,0.6315,0.7586,0.0499,0.9995,546.8
11,0.6288,0.7595,0.0369,1.0000,598.3
12,0.6193,0.7594,0.0407,0.9990,649.9
13,0.6041,0.7670,0.0403,1.0000,701.3
14,0.6003,0.7684,0.0365,0.9993,753.1
15,0.5876,0.7744,0.0235,1.0000,804.6
16,0.5827,0.7738,0.0211,1.0000,856.1
17,0.5914,0.7697,0.0281,1.0000,907.6
18,0.5666,0.7833,0.0178,1.0000,959.2
19,0.5681,0.7769,0.0173,1.0000,1010.8
20,0.5627,0.7810,0.0186,1.0000,1062.1
21,0.5607,0.7832,0.0163,1.0000,1113.6
22,0.5662,0.7777,0.0175,1.0000,1165.2
23,0.5534,0.7841,0.0150,1.0000,1216.5
24,0.5461,0.7917,0.0131,1.0000,1268.3
25,0.5384,0.7919,0.0092,1.0000,1319.6
26,0.5370,0.7932,0.0111,0.9998,1371.5
27,0.5467,0.7877,0.0139,1.0000,1423.1
28,0.5426,0.7887,0.0113,1.0000,1475.0
29,0.5324,0.7927,0.0104,1.0000,1526.8
30,0.5378,0.7915,0.0112,1.0000,1578.8
31,0.5320,0.7946,0.0079,1.0000,1630.6
32,0.5283,0.7937,0.0074,1.0000,1682.2
33,0.5177,0.7985,0.0084,1.0000,1734.1
34,0.5293,0.7917,0.0088,0.9998,1785.7
35,0.5257,0.7956,0.0083,0.9998,1837.6
36,0.5259,0.7953,0.0090,1.0000,1889.5
37,0.5109,0.7976,0.0082,1.0000,1941.4
38,0.5103,0.7995,0.0063,1.0000,1993.0
39,0.5113,0.8025,0.0059,1.0000,2044.8
40,0.5116,0.8000,0.0071,1.0000,2096.7
41,0.5109,0.7976,0.0080,1.0000,2148.5
42,0.5107,0.8003,0.0095,1.0000,2200.4
43,0.5083,0.8002,0.0067,1.0000,2252.2
44,0.5040,0.8046,0.0059,1.0000,2304.0
45,0.4960,0.8077,0.0042,1.0000,2355.8
46,0.4957,0.8055,0.0056,1.0000,2407.8
47,0.4964,0.8050,0.0056,1.0000,2459.8
48,0.4875,0.8089,0.0043,1.0000,2511.4
49,0.4944,0.8077,0.0042,1.0000,2563.3
50,0.4824,0.8146,0.0054,1.0000,2615.3
51,0.4893,0.8078,0.0039,1.0000,2666.9
52,0.4836,0.8123,0.0037,1.0000,2718.5
53,0.4908,0.8066,0.0035,1.0000,2770.2
54,0.4845,0.8150,0.0039,1.0000,2821.9
55,0.4880,0.8068,0.0036,1.0000,2873.6
56,0.4762,0.8147,0.0034,1.0000,2925.5
57,0.4862,0.8110,0.0034,1.0000,2977.4
58,0.4778,0.8126,0.0033,1.0000,3029.3
59,0.4709,0.8152,0.0034,1.0000,3081.0
60,0.4711,0.8176,0.0034,1.0000,3132.9
61,0.4828,0.8109,0.0039,1.0000,3184.7
62,0.4718,0.8142,0.0036,1.0000,3236.4
63,0.4809,0.8121,0.0037,1.0000,3288.3
64,0.4766,0.8147,0.0034,1.0000,3340.2
65,0.4723,0.8123,0.0034,1.0000,3391.9
66,0.4730,0.8150,0.0035,1.0000,3443.5
67,0.4675,0.8187,0.0034,1.0000,3495.3
68,0.4737,0.8137,0.0033,1.0000,3547.0
69,0.4661,0.8194,0.0030,1.0000,3598.7
70,0.4674,0.8186,0.0032,1.0000,3650.7
71,0.4666,0.8163,0.0032,1.0000,3702.7
72,0.4650,0.8187,0.0030,1.0000,3754.5
73,0.4710,0.8195,0.0032,1.0000,3806.2
74,0.4678,0.8167,0.0033,1.0000,3858.1
75,0.4673,0.8176,0.0031,1.0000,3910.0
76,0.4626,0.8188,0.0031,1.0000,3961.6
77,0.4682,0.8160,0.0031,1.0000,4013.5
78,0.4670,0.8177,0.0030,1.0000,4065.2
79,0.4652,0.8180,0.0032,1.0000,4116.9
80,0.4752,0.8149,0.0028,1.0000,4168.5
