epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.0115,0.3648,1.1514,0.6118,81.2
2,0.9708,0.6453,0.4275,0.8358,130.0
3,0.5520,0.7846,0.2347,0.9342,178.8
4,0.3983,0.8505,0.1066,0.9873,227.3
5,0.3305,0.8770,0.0596,0.9945,275.5
6,0.2778,0.8946,0.0557,0.9887,324.2
7,0.2404,0.9082,0.0296,0.9995,372.7
8,0.2267,0.9144,0.0239,0.9985,421.1
9,0.2095,0.9200,0.0157,1.0000,469.9
10,0.1951,0.9271,0.0112,1.0000,518.7
11,0.1821,0.9313,0.0112,0.9998,571.3
12,0.1795,0.9331,0.0118,0.9985,626.0
13,0.1683,0.9365,0.0069,1.0000,678.6
14,0.1635,0.9392,0.0086,1.0000,731.0
15,0.1606,0.9368,0.0101,0.9977,783.1
16,0.1550,0.9417,0.0050,1.0000,835.3
17,0.1504,0.9421,0.0059,1.0000,887.7
18,0.1388,0.9476,0.0055,1.0000,939.7
19,0.1403,0.9480,0.0042,1.0000,991.6
20,0.1327,0.9504,0.0038,1.0000,1043.9
21,0.1330,0.9487,0.0037,1.0000,1096.2
22,0.1282,0.9525,0.0043,1.0000,1148.5
23,0.1272,0.9517,0.0022,1.0000,1200.8
24,0.1263,0.9514,0.0049,0.9990,1253.5
25,0.1227,0.9537,0.0045,1.0000,1305.6
26,0.1273,0.9527,0.0051,1.0000,1357.7
27,0.1190,0.9541,0.0028,1.0000,1410.5
28,0.1176,0.9555,0.0028,1.0000,1462.8
29,0.1148,0.9563,0.0038,1.0000,1515.1
30,0.1170,0.9540,0.0024,1.0000,1567.4
31,0.1131,0.9572,0.0036,1.0000,1619.9
32,0.1039,0.9606,0.0026,1.0000,1672.0
33,0.1050,0.9599,0.0026,1.0000,1724.1
34,0.1041,0.9596,0.0034,1.0000,1776.5
35,0.1025,0.9601,0.0022,1.0000,1828.9
36,0.1085,0.9588,0.0020,1.0000,1881.1
37,0.0991,0.9608,0.0026,1.0000,1933.4
38,0.0986,0.9624,0.0025,1.0000,1985.7
39,0.0965,0.9634,0.0023,1.0000,2037.7
40,0.0916,0.9661,0.0013,1.0000,2089.9
41,0.0913,0.9654,0.0014,1.0000,2142.4
42,0.0890,0.9666,0.0016,1.0000,2194.7
43,0.0874,0.9669,0.0017,1.0000,2246.8
44,0.0894,0.9666,0.0026,0.9992,2299.1
45,0.0878,0.9670,0.0012,1.0000,2351.7
46,0.0864,0.9667,0.0025,1.0000,2403.8
47,0.0836,0.9690,0.0013,1.0000,2456.0
48,0.0846,0.9685,0.0011,1.0000,2508.6
49,0.0794,0.9709,0.0010,1.0000,2560.9
50,0.0797,0.9700,0.0015,1.0000,2613.0
51,0.0784,0.9693,0.0008,1.0000,2665.3
52,0.0773,0.9709,0.0011,1.0000,2717.7
53,0.0790,0.9703,0.0008,1.0000,2769.8
54,0.0777,0.9718,0.0013,1.0000,2822.0
55,0.0763,0.9710,0.0015,1.0000,2874.6
56,0.0753,0.9728,0.0008,1.0000,2926.9
57,0.0722,0.9729,0.0012,1.0000,2979.0
58,0.0702,0.9731,0.0011,1.0000,3031.4
59,0.0713,0.9725,0.0010,1.0000,3083.4
60,0.0693,0.9739,0.0011,1.0000,3135.4
61,0.0681,0.9736,0.0010,1.0000,3187.8
62,0.0663,0.9752,0.0012,1.0000,3240.4
63,0.0674,0.9755,0.0011,1.0000,3292.6
64,0.0673,0.9745,0.0010,1.0000,3345.0
65,0.0655,0.9754,0.0010,1.0000,3397.4
66,0.0666,0.9750,0.0009,1.0000,3449.6
67,0.0655,0.9748,0.0009,1.0000,3501.5
68,0.0670,0.9753,0.0009,1.0000,3554.0
69,0.0672,0.9744,0.0007,1.0000,3606.4
70,0.0671,0.9737,0.0007,1.0000,3658.8
71,0.0659,0.9756,0.0006,1.0000,3711.0
72,0.0647,0.9755,0.0005,1.0000,3763.3
73,0.0628,0.9766,0.0006,1.0000,3815.5
74,0.0648,0.9752,0.0007,1.0000,3867.4
75,0.0633,0.9762,0.0007,1.0000,3919.8
76,0.0637,0.9766,0.0007,1.0000,3972.2
77,0.0642,0.9761,0.0006,1.0000,4024.5
78,0.0650,0.9756,0.0007,1.0000,4076.7
79,0.0636,0.9771,0.0006,1.0000,4129.3
80,0.0649,0.9764,0.0006,1.0000,4180.9
