,A1,A2,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,C8
A1,969,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,0,915,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,251,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,238,0,0,0,0,0,0,0,0,0,0
B3,0,0,0,0,262,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,252,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,117,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,125,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,126,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,110,0,0,0,0
C5,0,0,0,0,0,0,0,0,0,0,110,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,128,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,122,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,115
