epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.6752,0.3085,1.9242,0.4667,21.1
2,1.6682,0.5188,1.0842,0.6750,28.3
3,1.0192,0.6676,0.6002,0.7573,35.3
4,0.6448,0.7824,0.3454,0.8865,42.4
5,0.4137,0.8891,0.1573,0.9927,49.6
6,0.2502,0.9471,0.0613,1.0000,56.7
7,0.1551,0.9714,0.0255,1.0000,63.8
8,0.1124,0.9797,0.0125,1.0000,70.7
9,0.0859,0.9835,0.0078,1.0000,77.6
10,0.0794,0.9830,0.0098,1.0000,84.4
11,0.0702,0.9857,0.0059,1.0000,91.3
12,0.0683,0.9828,0.0054,1.0000,98.2
13,0.0514,0.9884,0.0028,1.0000,105.1
14,0.0425,0.9900,0.0021,1.0000,111.9
15,0.0496,0.9882,0.0028,1.0000,118.9
16,0.0521,0.9862,0.0015,1.0000,125.7
17,0.0529,0.9864,0.0021,1.0000,132.6
18,0.0428,0.9868,0.0009,1.0000,139.4
19,0.0359,0.9913,0.0005,1.0000,146.3
20,0.0308,0.9926,0.0006,1.0000,153.2
21,0.0329,0.9900,0.0007,1.0000,160.0
22,0.0369,0.9877,0.0007,1.0000,166.9
23,0.0317,0.9915,0.0024,1.0000,173.7
24,0.0246,0.9940,0.0009,1.0000,180.6
25,0.0295,0.9924,0.0007,1.0000,187.4
26,0.0178,0.9958,0.0004,1.0000,194.4
27,0.0199,0.9944,0.0003,1.0000,201.3
28,0.0303,0.9908,0.0005,1.0000,208.2
29,0.0229,0.9946,0.0001,1.0000,215.0
30,0.0204,0.9946,0.0002,1.0000,221.9
31,0.0184,0.9951,0.0001,1.0000,228.8
32,0.0236,0.9940,0.0002,1.0000,235.6
33,0.0149,0.9967,0.0001,1.0000,242.6
34,0.0166,0.9962,0.0010,1.0000,249.7
35,0.0228,0.9940,0.0003,1.0000,257.0
36,0.0153,0.9951,0.0001,1.0000,264.3
37,0.0179,0.9949,0.0267,0.9875,271.5
38,0.0177,0.9953,0.0001,1.0000,278.8
39,0.0130,0.9969,0.0002,1.0000,286.0
40,0.0186,0.9942,0.0001,1.0000,293.2
41,0.0166,0.9953,0.0001,1.0000,300.4
42,0.0138,0.9946,0.0001,1.0000,307.7
43,0.0100,0.9980,0.0000,1.0000,315.0
44,0.0093,0.9978,0.0000,1.0000,322.2
45,0.0086,0.9973,0.0002,1.0000,329.4
46,0.0131,0.9946,0.0001,1.0000,336.7
47,0.0113,0.9969,0.0002,1.0000,343.8
48,0.0144,0.9942,0.0002,1.0000,351.0
49,0.0073,0.9978,0.0000,1.0000,358.1
50,0.0122,0.9967,0.0000,1.0000,365.5
51,0.0095,0.9973,0.0000,1.0000,372.7
52,0.0076,0.9980,0.0000,1.0000,380.0
53,0.0084,0.9975,0.0000,1.0000,387.3
54,0.0115,0.9971,0.0000,1.0000,394.4
55,0.0072,0.9975,0.0000,1.0000,401.4
56,0.0085,0.9980,0.0000,1.0000,408.3
57,0.0089,0.9975,0.0000,1.0000,415.4
58,0.0061,0.9987,0.0001,1.0000,422.5
59,0.0049,0.9984,0.0000,1.0000,429.6
60,0.0092,0.9971,0.0000,1.0000,436.5
61,0.0068,0.9980,0.0000,1.0000,443.4
62,0.0053,0.9984,0.0000,1.0000,450.3
63,0.0047,0.9987,0.0000,1.0000,457.2
64,0.0059,0.9982,0.0000,1.0000,464.1
65,0.0059,0.9984,0.0000,1.0000,470.9
66,0.0046,0.9989,0.0000,1.0000,477.8
67,0.0053,0.9982,0.0000,1.0000,484.7
68,0.0035,0.9993,0.0000,1.0000,491.7
69,0.0035,0.9991,0.0000,1.0000,498.5
70,0.0029,0.9996,0.0000,1.0000,505.3
71,0.0039,0.9991,0.0000,1.0000,512.2
72,0.0046,0.9982,0.0000,1.0000,519.0
73,0.0035,0.9989,0.0000,1.0000,525.9
74,0.0037,0.9993,0.0000,1.0000,532.9
75,0.0039,0.9989,0.0000,1.0000,539.7
76,0.0037,0.9996,0.0000,1.0000,546.6
77,0.0034,0.9996,0.0000,1.0000,553.4
78,0.0039,0.9991,0.0000,1.0000,560.3
79,0.0040,0.9989,0.0000,1.0000,567.2
80,0.0034,0.9991,0.0000,1.0000,574.0
