size,seed,n_params,train_acc,xrun_acc,xrun_macro_f1
S,0,13790,1.0000,0.7188,0.3911
S,1,13790,1.0000,0.9062,0.8095
S,2,13790,1.0000,0.8125,0.6310
S,3,13790,1.0000,0.8750,0.7143
S,4,13790,1.0000,0.9062,0.8095
M,0,30366,1.0000,0.8438,0.7143
M,1,30366,1.0000,0.8125,0.5952
M,2,30366,1.0000,0.8750,0.7143
M,3,30366,1.0000,0.9375,0.9048
M,4,30366,1.0000,0.9062,0.7143
L,0,52142,1.0000,0.8438,0.6429
L,1,52142,1.0000,0.9062,0.7143
L,2,52142,1.0000,0.8750,0.7143
L,3,52142,1.0000,0.8438,0.6286
L,4,52142,0.9990,0.8750,0.7714
XL,0,104110,0.9927,0.9375,0.8929
XL,1,104110,1.0000,0.8750,0.7857
XL,2,104110,1.0000,0.9375,0.8214
XL,3,104110,1.0000,0.8750,0.7857
XL,4,104110,1.0000,0.7812,0.6000
