epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.9231,0.4911,1.6044,0.6319,1.8
2,1.2800,0.6250,0.9939,0.6806,3.6
3,1.0103,0.7143,0.7836,0.7500,5.3
4,0.8442,0.7634,0.6406,0.8056,7.1
5,0.6896,0.8423,0.5117,0.9306,8.9
6,0.5687,0.8854,0.4378,0.9306,10.8
7,0.4863,0.9122,0.3356,0.9722,12.6
8,0.4269,0.9137,0.2691,1.0000,14.3
9,0.3439,0.9494,0.2292,1.0000,16.1
10,0.2772,0.9747,0.1657,1.0000,17.9
11,0.2150,0.9732,0.1198,1.0000,19.7
12,0.1808,0.9970,0.0867,1.0000,21.4
13,0.1537,0.9940,0.0642,1.0000,23.2
14,0.1253,0.9940,0.0419,1.0000,25.0
15,0.1182,0.9970,0.0319,1.0000,26.8
16,0.0911,0.9970,0.0254,1.0000,28.6
17,0.0657,0.9985,0.0196,1.0000,30.4
18,0.0568,1.0000,0.0132,1.0000,32.2
19,0.0480,1.0000,0.0109,1.0000,33.9
20,0.0467,1.0000,0.0093,1.0000,35.8
21,0.0389,1.0000,0.0078,1.0000,37.5
22,0.0355,1.0000,0.0057,1.0000,39.3
23,0.0320,1.0000,0.0046,1.0000,41.1
24,0.0342,1.0000,0.0043,1.0000,42.9
25,0.0270,1.0000,0.0034,1.0000,44.7
26,0.0304,1.0000,0.0036,1.0000,46.5
27,0.0239,1.0000,0.0028,1.0000,48.3
28,0.0205,1.0000,0.0026,1.0000,50.1
29,0.0188,1.0000,0.0027,1.0000,51.8
30,0.0207,1.0000,0.0032,1.0000,53.6
31,0.0174,1.0000,0.0017,1.0000,55.4
32,0.0161,1.0000,0.0017,1.0000,57.2
33,0.0135,1.0000,0.0015,1.0000,59.1
34,0.0149,1.0000,0.0011,1.0000,60.8
35,0.0136,1.0000,0.0013,1.0000,62.6
36,0.0196,0.9985,0.0060,1.0000,64.4
37,0.0179,1.0000,0.0016,1.0000,66.1
38,0.0112,1.0000,0.0010,1.0000,68.0
39,0.0146,1.0000,0.0009,1.0000,69.7
40,0.0112,1.0000,0.0009,1.0000,71.5
41,0.0097,1.0000,0.0007,1.0000,73.3
42,0.0101,1.0000,0.0007,1.0000,75.2
43,0.0118,1.0000,0.0015,1.0000,77.0
44,0.0100,1.0000,0.0006,1.0000,78.8
45,0.0084,1.0000,0.0006,1.0000,80.6
46,0.0052,1.0000,0.0004,1.0000,82.5
47,0.0055,1.0000,0.0004,1.0000,84.3
48,0.0061,1.0000,0.0005,1.0000,86.1
49,0.0074,1.0000,0.0009,1.0000,87.9
50,0.0058,1.0000,0.0004,1.0000,89.7
51,0.0042,1.0000,0.0003,1.0000,91.5
52,0.0050,1.0000,0.0003,1.0000,93.3
53,0.0055,1.0000,0.0003,1.0000,95.1
54,0.0047,1.0000,0.0003,1.0000,96.9
55,0.0052,1.0000,0.0003,1.0000,98.7
56,0.0070,1.0000,0.0006,1.0000,100.5
57,0.0073,1.0000,0.0004,1.0000,102.4
58,0.0066,1.0000,0.0003,1.0000,104.2
59,0.0049,1.0000,0.0002,1.0000,106.0
60,0.0084,1.0000,0.0004,1.0000,107.7
