epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.0407,0.5253,1.8245,0.6667,1.8
2,1.3806,0.6815,0.8751,0.8403,3.6
3,1.0704,0.7455,0.6235,0.9236,5.4
4,0.8583,0.8229,0.4688,0.9931,7.2
5,0.7078,0.8973,0.3571,0.9792,9.0
6,0.5729,0.9449,0.2458,1.0000,10.7
7,0.4568,0.9598,0.1777,1.0000,12.5
8,0.3554,0.9807,0.1154,1.0000,14.3
9,0.2838,0.9911,0.0919,1.0000,16.1
10,0.2226,0.9985,0.0628,1.0000,17.9
11,0.1828,0.9985,0.0407,1.0000,19.7
12,0.1709,0.9896,0.0395,1.0000,21.5
13,0.1304,1.0000,0.0293,1.0000,23.4
14,0.1132,0.9970,0.0224,1.0000,25.2
15,0.0943,1.0000,0.0146,1.0000,27.1
16,0.0920,0.9985,0.0166,1.0000,28.8
17,0.0664,1.0000,0.0095,1.0000,30.6
18,0.0650,1.0000,0.0097,1.0000,32.3
19,0.0614,0.9985,0.0075,1.0000,34.2
20,0.0523,0.9985,0.0069,1.0000,36.0
21,0.0543,1.0000,0.0050,1.0000,37.8
22,0.0457,1.0000,0.0056,1.0000,39.6
23,0.0390,1.0000,0.0035,1.0000,41.5
24,0.0390,1.0000,0.0032,1.0000,43.3
25,0.0417,0.9985,0.0038,1.0000,45.0
26,0.0363,1.0000,0.0027,1.0000,46.9
27,0.0275,1.0000,0.0023,1.0000,48.7
28,0.0283,0.9985,0.0026,1.0000,50.5
29,0.0313,1.0000,0.0020,1.0000,52.3
30,0.0228,1.0000,0.0015,1.0000,54.2
31,0.0234,1.0000,0.0019,1.0000,56.0
32,0.0210,1.0000,0.0017,1.0000,57.8
33,0.0184,1.0000,0.0014,1.0000,59.7
34,0.0179,1.0000,0.0014,1.0000,61.4
35,0.0215,0.9985,0.0012,1.0000,63.3
36,0.0173,1.0000,0.0009,1.0000,65.1
37,0.0165,1.0000,0.0010,1.0000,66.8
38,0.0158,1.0000,0.0010,1.0000,68.6
39,0.0170,0.9985,0.0008,1.0000,70.3
40,0.0117,1.0000,0.0007,1.0000,72.2
41,0.0183,1.0000,0.0007,1.0000,74.0
42,0.0154,1.0000,0.0008,1.0000,75.8
43,0.0148,1.0000,0.0006,1.0000,77.5
44,0.0115,1.0000,0.0007,1.0000,79.4
45,0.0120,1.0000,0.0006,1.0000,81.2
46,0.0086,1.0000,0.0005,1.0000,83.0
47,0.0115,1.0000,0.0004,1.0000,84.8
48,0.0115,1.0000,0.0007,1.0000,86.6
49,0.0232,0.9970,0.0029,1.0000,88.4
50,0.0154,1.0000,0.0005,1.0000,90.2
51,0.0149,1.0000,0.0007,1.0000,91.9
52,0.0099,1.0000,0.0005,1.0000,93.6
53,0.0075,1.0000,0.0004,1.0000,95.5
54,0.0078,1.0000,0.0003,1.0000,97.3
55,0.0073,1.0000,0.0003,1.0000,99.0
56,0.0089,1.0000,0.0002,1.0000,100.8
57,0.0066,1.0000,0.0003,1.0000,102.6
58,0.0067,1.0000,0.0002,1.0000,104.4
59,0.0065,1.0000,0.0002,1.0000,106.2
60,0.0050,1.0000,0.0002,1.0000,108.0
