epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.2137,0.4315,1.8904,0.6667,1.8
2,1.6669,0.5610,1.1976,0.7083,3.6
3,1.3882,0.5982,0.9720,0.7569,5.4
4,1.2061,0.6607,0.8244,0.7569,7.1
5,1.0843,0.6771,0.7217,0.8264,8.8
6,0.9822,0.6890,0.5998,0.8264,10.6
7,0.8846,0.7113,0.5792,0.9306,12.3
8,0.7889,0.7946,0.4502,0.9375,14.1
9,0.7082,0.8452,0.3862,0.9306,15.9
10,0.6368,0.8646,0.3367,1.0000,17.7
11,0.5400,0.9003,0.2903,1.0000,19.4
12,0.5265,0.8899,0.2499,1.0000,21.2
13,0.4658,0.9077,0.2144,1.0000,22.9
14,0.4099,0.9256,0.1749,1.0000,24.6
15,0.3742,0.9435,0.1552,1.0000,26.3
16,0.3404,0.9524,0.1379,1.0000,28.0
17,0.2978,0.9658,0.1150,1.0000,29.7
18,0.2643,0.9777,0.0988,1.0000,31.5
19,0.2486,0.9807,0.0851,1.0000,33.3
20,0.2068,0.9926,0.0739,1.0000,35.0
21,0.1846,0.9911,0.0538,1.0000,36.9
22,0.1705,0.9881,0.0422,1.0000,38.6
23,0.1547,0.9955,0.0350,1.0000,40.5
24,0.1446,0.9881,0.0325,1.0000,42.2
25,0.1380,0.9896,0.0226,1.0000,44.1
26,0.1222,0.9940,0.0274,1.0000,45.8
27,0.1005,0.9970,0.0163,1.0000,47.6
28,0.0975,0.9955,0.0191,1.0000,49.4
29,0.0952,0.9970,0.0132,1.0000,51.2
30,0.0800,0.9955,0.0123,1.0000,52.9
31,0.0722,0.9955,0.0108,1.0000,54.6
32,0.0713,0.9970,0.0068,1.0000,56.4
33,0.0623,0.9970,0.0064,1.0000,58.2
34,0.0549,0.9985,0.0063,1.0000,59.9
35,0.0529,0.9970,0.0054,1.0000,61.6
36,0.0453,0.9985,0.0056,1.0000,63.3
37,0.0415,1.0000,0.0044,1.0000,65.1
38,0.0508,0.9985,0.0043,1.0000,66.9
39,0.0441,1.0000,0.0034,1.0000,68.6
40,0.0439,0.9985,0.0036,1.0000,70.3
41,0.0446,1.0000,0.0024,1.0000,72.0
42,0.0306,1.0000,0.0024,1.0000,73.8
43,0.0366,0.9970,0.0022,1.0000,75.5
44,0.0351,0.9985,0.0054,1.0000,77.2
45,0.0374,0.9985,0.0017,1.0000,79.0
46,0.0314,0.9985,0.0018,1.0000,80.7
47,0.0342,1.0000,0.0017,1.0000,82.4
48,0.0265,1.0000,0.0017,1.0000,84.2
49,0.0274,0.9985,0.0011,1.0000,86.0
50,0.0304,0.9985,0.0020,1.0000,87.8
51,0.0280,0.9985,0.0013,1.0000,89.4
52,0.0331,0.9955,0.0013,1.0000,91.3
53,0.0291,0.9955,0.0012,1.0000,93.0
54,0.0210,0.9970,0.0009,1.0000,94.7
55,0.0231,1.0000,0.0008,1.0000,96.5
56,0.0192,0.9985,0.0007,1.0000,98.3
57,0.0207,1.0000,0.0006,1.0000,100.0
58,0.0128,1.0000,0.0007,1.0000,101.8
59,0.0214,0.9985,0.0007,1.0000,103.6
60,0.0157,1.0000,0.0008,1.0000,105.4
