epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,0.7161,0.7961,0.2070,0.9444,1.9
2,0.1139,0.9702,0.0318,1.0000,3.8
3,0.0328,0.9896,0.0021,1.0000,5.6
4,0.0098,0.9985,0.0004,1.0000,7.5
5,0.0055,0.9985,0.0027,1.0000,9.2
6,0.0036,1.0000,0.0002,1.0000,11.0
7,0.0018,1.0000,0.0001,1.0000,12.8
8,0.0012,1.0000,0.0001,1.0000,14.6
9,0.0044,0.9985,0.0001,1.0000,16.4
10,0.0020,1.0000,0.0001,1.0000,18.2
11,0.0012,1.0000,0.0001,1.0000,20.1
12,0.0013,1.0000,0.0001,1.0000,21.9
13,0.0007,1.0000,0.0000,1.0000,23.7
14,0.0007,1.0000,0.0000,1.0000,25.5
15,0.0006,1.0000,0.0000,1.0000,27.3
16,0.0008,1.0000,0.0000,1.0000,29.2
17,0.0006,1.0000,0.0000,1.0000,31.0
18,0.0004,1.0000,0.0000,1.0000,32.9
19,0.0006,1.0000,0.0000,1.0000,34.7
20,0.0005,1.0000,0.0000,1.0000,36.6
21,0.0004,1.0000,0.0000,1.0000,38.6
22,0.0005,1.0000,0.0000,1.0000,40.4
23,0.0006,1.0000,0.0000,1.0000,42.2
24,0.0007,1.0000,0.0000,1.0000,44.1
25,0.0004,1.0000,0.0000,1.0000,45.9
26,0.0005,1.0000,0.0000,1.0000,47.6
27,0.0003,1.0000,0.0000,1.0000,49.5
28,0.0003,1.0000,0.0000,1.0000,51.3
29,0.0002,1.0000,0.0000,1.0000,53.1
30,0.0002,1.0000,0.0000,1.0000,54.9
31,0.0003,1.0000,0.0000,1.0000,56.8
32,0.0008,1.0000,0.0000,1.0000,58.6
33,0.0006,1.0000,0.0000,1.0000,60.4
34,0.0002,1.0000,0.0000,1.0000,62.2
35,0.0002,1.0000,0.0000,1.0000,64.1
36,0.0004,1.0000,0.0000,1.0000,66.0
37,0.0002,1.0000,0.0000,1.0000,67.8
38,0.0003,1.0000,0.0000,1.0000,69.7
39,0.0002,1.0000,0.0000,1.0000,71.5
40,0.0002,1.0000,0.0000,1.0000,73.3
41,0.0001,1.0000,0.0000,1.0000,75.2
42,0.0002,1.0000,0.0000,1.0000,77.0
43,0.0002,1.0000,0.0000,1.0000,78.8
44,0.0001,1.0000,0.0000,1.0000,80.7
45,0.0001,1.0000,0.0000,1.0000,82.6
46,0.0001,1.0000,0.0000,1.0000,84.4
47,0.0001,1.0000,0.0000,1.0000,86.2
48,0.0001,1.0000,0.0000,1.0000,88.1
49,0.0003,1.0000,0.0000,1.0000,90.0
50,0.0010,1.0000,0.0000,1.0000,91.8
51,0.0009,1.0000,0.0000,1.0000,93.7
52,0.0056,0.9970,0.0008,1.0000,95.5
53,0.0034,1.0000,0.0000,1.0000,97.3
54,0.0005,1.0000,0.0000,1.0000,99.1
55,0.0003,1.0000,0.0000,1.0000,101.0
56,0.0002,1.0000,0.0000,1.0000,102.8
57,0.0003,1.0000,0.0000,1.0000,104.7
58,0.0003,1.0000,0.0000,1.0000,106.6
59,0.0001,1.0000,0.0000,1.0000,108.3
60,0.0003,1.0000,0.0000,1.0000,110.1
