epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.4135,0.6197,0.9555,0.7153,7.1
2,0.7865,0.7678,0.5650,0.8438,14.0
3,0.4814,0.8757,0.3107,0.9433,20.9
4,0.3203,0.9186,0.1906,0.9074,27.8
5,0.2298,0.9558,0.1584,0.8935,34.7
6,0.1518,0.9797,0.0605,1.0000,41.6
7,0.1032,0.9891,0.0359,1.0000,48.5
8,0.0751,0.9953,0.0225,1.0000,55.4
9,0.0705,0.9933,0.0118,1.0000,62.2
10,0.0467,0.9968,0.0049,1.0000,69.1
11,0.0392,0.9973,0.0032,1.0000,76.0
12,0.0330,0.9978,0.0027,1.0000,82.9
13,0.0307,0.9970,0.0022,1.0000,89.8
14,0.0217,0.9988,0.0032,1.0000,96.8
15,0.0228,0.9978,0.0009,1.0000,103.8
16,0.0216,0.9988,0.0006,1.0000,110.8
17,0.0181,0.9983,0.0004,1.0000,117.7
18,0.0186,0.9975,0.0005,1.0000,124.6
19,0.0145,0.9985,0.0006,1.0000,131.6
20,0.0153,0.9983,0.0129,0.9965,138.5
21,0.0157,0.9975,0.0002,1.0000,145.5
22,0.0144,0.9973,0.0012,1.0000,152.4
23,0.0100,0.9988,0.0009,1.0000,159.4
24,0.0107,0.9990,0.0002,1.0000,166.3
25,0.0096,0.9995,0.0006,1.0000,173.2
26,0.0136,0.9988,0.0001,1.0000,180.2
27,0.0086,0.9988,0.0001,1.0000,187.1
28,0.0102,0.9985,0.0001,1.0000,194.0
29,0.0067,0.9995,0.0002,1.0000,200.9
30,0.0083,0.9995,0.0000,1.0000,207.9
31,0.0099,0.9980,0.0000,1.0000,214.8
32,0.0074,0.9988,0.0000,1.0000,221.8
33,0.0062,0.9998,0.0000,1.0000,228.8
34,0.0058,0.9993,0.0002,1.0000,235.7
35,0.0082,0.9990,0.0002,1.0000,242.7
36,0.0062,0.9998,0.0001,1.0000,249.7
37,0.0060,0.9993,0.0000,1.0000,256.7
38,0.0080,0.9980,0.0001,1.0000,263.7
39,0.0080,0.9983,0.0000,1.0000,270.6
40,0.0049,0.9993,0.0000,1.0000,277.5
41,0.0058,0.9993,0.0000,1.0000,284.4
42,0.0066,0.9993,0.0000,1.0000,291.4
43,0.0041,0.9998,0.0000,1.0000,298.3
44,0.0053,0.9990,0.0010,1.0000,305.3
45,0.0116,0.9963,0.0001,1.0000,312.2
46,0.0051,0.9993,0.0000,1.0000,319.1
47,0.0083,0.9985,0.0000,1.0000,326.1
48,0.0044,0.9995,0.0000,1.0000,333.0
49,0.0059,0.9990,0.0000,1.0000,339.9
50,0.0031,0.9998,0.0000,1.0000,346.8
51,0.0033,0.9995,0.0000,1.0000,353.7
52,0.0034,0.9993,0.0000,1.0000,360.6
53,0.0049,0.9990,0.0000,1.0000,367.5
54,0.0069,0.9990,0.0000,1.0000,374.4
55,0.0021,1.0000,0.0000,1.0000,381.3
56,0.0030,0.9995,0.0000,1.0000,388.2
57,0.0036,0.9993,0.0000,1.0000,395.2
58,0.0044,0.9988,0.0000,1.0000,402.1
59,0.0027,0.9995,0.0000,1.0000,408.9
60,0.0103,0.9973,0.0003,1.0000,415.8
