epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,0.2198,0.9387,0.0013,1.0000,7.1
2,0.0040,1.0000,0.0003,1.0000,14.0
3,0.0017,1.0000,0.0001,1.0000,20.8
4,0.0008,1.0000,0.0001,1.0000,27.8
5,0.0008,1.0000,0.0000,1.0000,34.7
6,0.0005,1.0000,0.0000,1.0000,41.6
7,0.0005,1.0000,0.0000,1.0000,48.5
8,0.0006,1.0000,0.0000,1.0000,55.4
9,0.0003,1.0000,0.0000,1.0000,62.4
10,0.0002,1.0000,0.0000,1.0000,69.3
11,0.0004,1.0000,0.0000,1.0000,76.2
12,0.0005,1.0000,0.0000,1.0000,83.1
13,0.0008,1.0000,0.0000,1.0000,90.0
14,0.0002,1.0000,0.0000,1.0000,96.9
15,0.0220,0.9940,0.0003,1.0000,103.8
16,0.0073,0.9975,0.0000,1.0000,110.7
17,0.0020,0.9993,0.0000,1.0000,117.6
18,0.0002,1.0000,0.0000,1.0000,124.4
19,0.0085,0.9970,0.0159,0.9954,131.3
20,0.0066,0.9985,0.0002,1.0000,138.2
21,0.0087,0.9985,0.0000,1.0000,145.1
22,0.0018,0.9995,0.0000,1.0000,152.0
23,0.0049,0.9988,0.0000,1.0000,158.9
24,0.0014,0.9998,0.0000,1.0000,165.7
25,0.0045,0.9983,0.0000,1.0000,172.6
26,0.0006,0.9998,0.0000,1.0000,179.4
27,0.0005,1.0000,0.0000,1.0000,186.3
28,0.0002,1.0000,0.0000,1.0000,193.2
29,0.0002,1.0000,0.0000,1.0000,200.2
30,0.0001,1.0000,0.0000,1.0000,207.3
31,0.0000,1.0000,0.0000,1.0000,214.4
32,0.0000,1.0000,0.0000,1.0000,221.3
33,0.0003,0.9998,0.0000,1.0000,228.2
34,0.0021,0.9998,0.0000,1.0000,235.2
35,0.0011,0.9995,0.0000,1.0000,242.1
36,0.0058,0.9990,0.0000,1.0000,249.0
37,0.0100,0.9983,0.0000,1.0000,256.0
38,0.0008,1.0000,0.0000,1.0000,263.0
39,0.0008,0.9998,0.0000,1.0000,269.9
40,0.0002,1.0000,0.0000,1.0000,276.9
41,0.0000,1.0000,0.0000,1.0000,283.8
42,0.0000,1.0000,0.0000,1.0000,290.7
43,0.0080,0.9978,0.0000,1.0000,297.6
44,0.0021,0.9990,0.0000,1.0000,304.5
45,0.0004,0.9995,0.0000,1.0000,311.5
46,0.0002,1.0000,0.0000,1.0000,318.4
47,0.0000,1.0000,0.0000,1.0000,325.4
48,0.0005,1.0000,0.0000,1.0000,332.3
49,0.0002,1.0000,0.0000,1.0000,339.3
50,0.0031,0.9993,0.0000,1.0000,346.3
51,0.0001,1.0000,0.0000,1.0000,353.2
52,0.0004,1.0000,0.0000,1.0000,360.2
53,0.0000,1.0000,0.0000,1.0000,367.2
54,0.0000,1.0000,0.0000,1.0000,374.1
55,0.0050,0.9985,0.0000,1.0000,381.0
56,0.0029,0.9995,0.0000,1.0000,387.9
57,0.0017,0.9993,0.0000,1.0000,394.9
58,0.0032,0.9993,0.0000,1.0000,401.8
59,0.0001,1.0000,0.0000,1.0000,408.7
60,0.0056,0.9990,0.0000,1.0000,415.6
