epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.1401,0.7276,0.5287,0.9016,6.3
2,0.3952,0.9303,0.1411,1.0000,12.4
3,0.1566,0.9861,0.0396,1.0000,18.6
4,0.0731,0.9990,0.0094,1.0000,24.7
5,0.0419,0.9993,0.0039,1.0000,30.8
6,0.0301,0.9975,0.0033,1.0000,37.0
7,0.0268,0.9993,0.0021,1.0000,43.1
8,0.0173,0.9990,0.0007,1.0000,49.2
9,0.0149,0.9995,0.0005,1.0000,55.3
10,0.0120,0.9993,0.0005,1.0000,61.4
11,0.0095,0.9998,0.0002,1.0000,67.5
12,0.0089,0.9995,0.0002,1.0000,73.6
13,0.0081,0.9995,0.0002,1.0000,79.8
14,0.0071,0.9998,0.0001,1.0000,85.8
15,0.0068,0.9993,0.0014,1.0000,91.9
16,0.0066,0.9998,0.0001,1.0000,98.0
17,0.0050,0.9995,0.0001,1.0000,104.1
18,0.0040,1.0000,0.0001,1.0000,110.2
19,0.0034,1.0000,0.0000,1.0000,116.3
20,0.0067,0.9993,0.0003,1.0000,122.4
21,0.0059,0.9998,0.0000,1.0000,128.4
22,0.0051,0.9995,0.0000,1.0000,134.5
23,0.0102,0.9980,0.0001,1.0000,140.6
24,0.0041,0.9998,0.0004,1.0000,146.8
25,0.0047,0.9995,0.0000,1.0000,152.9
26,0.0028,1.0000,0.0000,1.0000,159.2
27,0.0019,1.0000,0.0000,1.0000,165.4
28,0.0032,0.9993,0.0001,1.0000,171.5
29,0.0046,0.9993,0.0001,1.0000,177.6
30,0.0021,1.0000,0.0000,1.0000,183.8
31,0.0015,1.0000,0.0000,1.0000,189.9
32,0.0013,1.0000,0.0000,1.0000,196.1
33,0.0015,1.0000,0.0000,1.0000,202.2
34,0.0013,1.0000,0.0000,1.0000,208.4
35,0.0009,1.0000,0.0000,1.0000,214.6
36,0.0009,1.0000,0.0000,1.0000,220.8
37,0.0015,1.0000,0.0000,1.0000,227.0
38,0.0010,1.0000,0.0000,1.0000,233.2
39,0.0013,1.0000,0.0000,1.0000,239.4
40,0.0012,1.0000,0.0000,1.0000,245.6
41,0.0006,1.0000,0.0000,1.0000,251.7
42,0.0111,0.9970,0.0015,1.0000,257.9
43,0.0110,0.9970,0.0104,0.9896,264.1
44,0.0034,0.9998,0.0000,1.0000,270.3
45,0.0034,0.9995,0.0000,1.0000,276.5
46,0.0021,0.9998,0.0000,1.0000,282.7
47,0.0024,0.9993,0.0000,1.0000,288.9
48,0.0037,0.9995,0.0000,1.0000,295.2
49,0.0008,1.0000,0.0000,1.0000,301.4
50,0.0011,1.0000,0.0000,1.0000,307.6
51,0.0006,1.0000,0.0000,1.0000,313.8
52,0.0011,0.9998,0.0000,1.0000,320.0
53,0.0009,1.0000,0.0000,1.0000,326.2
54,0.0004,1.0000,0.0000,1.0000,332.5
55,0.0012,0.9998,0.0000,1.0000,338.6
56,0.0038,0.9993,0.0000,1.0000,344.9
57,0.0066,0.9985,0.0000,1.0000,351.0
58,0.0041,0.9988,0.0000,1.0000,357.2
59,0.0017,0.9998,0.0000,1.0000,363.3
60,0.0022,0.9995,0.0000,1.0000,369.4
