epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.4062,0.6207,0.9445,0.7211,6.4
2,0.7723,0.7700,0.5583,0.8588,12.5
3,0.4719,0.8735,0.3044,0.9572,18.7
4,0.3172,0.9112,0.2007,0.9028,24.8
5,0.2348,0.9477,0.1589,0.8762,30.9
6,0.1620,0.9767,0.0681,1.0000,37.0
7,0.1069,0.9906,0.0627,0.9931,43.2
8,0.0791,0.9931,0.0397,0.9942,49.3
9,0.0672,0.9935,0.0170,1.0000,55.4
10,0.0509,0.9938,0.0058,1.0000,61.5
11,0.0372,0.9980,0.0078,1.0000,67.7
12,0.0332,0.9980,0.0034,1.0000,73.8
13,0.0306,0.9978,0.0039,1.0000,80.0
14,0.0276,0.9960,0.0112,1.0000,86.1
15,0.0240,0.9978,0.0009,1.0000,92.2
16,0.0206,0.9983,0.0011,1.0000,98.2
17,0.0180,0.9983,0.0008,1.0000,104.3
18,0.0194,0.9973,0.0005,1.0000,110.4
19,0.0263,0.9953,0.0006,1.0000,116.5
20,0.0140,0.9995,0.0003,1.0000,122.6
21,0.0115,0.9990,0.0002,1.0000,128.6
22,0.0130,0.9975,0.0003,1.0000,134.7
23,0.0151,0.9968,0.0003,1.0000,140.8
24,0.0119,0.9985,0.0002,1.0000,146.8
25,0.0104,0.9985,0.0001,1.0000,152.9
26,0.0121,0.9973,0.0004,1.0000,158.9
27,0.0108,0.9988,0.0001,1.0000,165.0
28,0.0122,0.9975,0.0002,1.0000,171.1
29,0.0074,0.9993,0.0002,1.0000,177.2
30,0.0133,0.9968,0.0001,1.0000,183.5
31,0.0076,0.9993,0.0000,1.0000,189.6
32,0.0084,0.9993,0.0002,1.0000,195.8
33,0.0086,0.9983,0.0023,1.0000,201.9
34,0.0098,0.9985,0.0000,1.0000,208.1
35,0.0067,0.9995,0.0000,1.0000,214.2
36,0.0061,0.9993,0.0001,1.0000,220.4
37,0.0069,0.9995,0.0002,1.0000,226.5
38,0.0111,0.9978,0.0001,1.0000,232.6
39,0.0060,0.9993,0.0001,1.0000,238.8
40,0.0095,0.9975,0.0001,1.0000,245.0
41,0.0088,0.9983,0.0004,1.0000,251.1
42,0.0063,0.9995,0.0001,1.0000,257.3
43,0.0062,0.9990,0.0000,1.0000,263.5
44,0.0056,0.9993,0.0000,1.0000,269.6
45,0.0093,0.9978,0.0000,1.0000,275.7
46,0.0066,0.9985,0.0000,1.0000,281.8
47,0.0035,1.0000,0.0000,1.0000,288.0
48,0.0025,1.0000,0.0000,1.0000,294.1
49,0.0047,0.9988,0.0000,1.0000,300.3
50,0.0054,0.9980,0.0000,1.0000,306.5
51,0.0063,0.9985,0.0000,1.0000,312.8
52,0.0034,0.9995,0.0002,1.0000,319.0
53,0.0046,0.9993,0.0000,1.0000,325.2
54,0.0037,0.9995,0.0000,1.0000,331.4
55,0.0068,0.9978,0.0014,1.0000,337.7
56,0.0042,0.9990,0.0000,1.0000,343.9
57,0.0025,0.9995,0.0000,1.0000,350.1
58,0.0056,0.9988,0.0001,1.0000,356.4
59,0.0035,0.9995,0.0000,1.0000,362.6
60,0.0077,0.9988,0.0001,1.0000,368.8
