epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.6177,0.1937,1.8572,0.3819,7.2
2,1.7523,0.3726,1.3408,0.5150,14.1
3,1.4149,0.4716,1.1338,0.5637,21.1
4,1.2236,0.5329,0.9480,0.6238,28.1
5,1.0366,0.6224,0.8413,0.6979,35.1
6,0.8828,0.6807,0.6602,0.7292,42.0
7,0.7489,0.7445,0.4790,0.8333,49.1
8,0.6450,0.7785,0.4714,0.7708,56.1
9,0.5610,0.7976,0.3213,0.8970,63.1
10,0.4776,0.8405,0.2522,0.9317,70.1
11,0.4250,0.8608,0.2080,0.9201,77.1
12,0.3682,0.8938,0.1816,0.9525,84.2
13,0.3386,0.8990,0.1940,0.9711,91.2
14,0.2975,0.9090,0.1006,0.9965,98.2
15,0.2937,0.9104,0.1656,0.9850,105.2
16,0.2499,0.9281,0.0752,0.9954,112.2
17,0.2247,0.9365,0.0625,1.0000,119.2
18,0.2143,0.9417,0.0565,0.9873,126.2
19,0.1879,0.9519,0.0299,1.0000,133.2
20,0.1755,0.9511,0.0600,0.9988,140.2
21,0.1699,0.9566,0.0278,0.9988,147.2
22,0.1536,0.9596,0.0171,1.0000,154.2
23,0.1298,0.9697,0.0127,1.0000,161.2
24,0.1298,0.9673,0.0190,0.9988,168.1
25,0.1435,0.9608,0.0127,0.9988,175.1
26,0.1187,0.9677,0.0110,1.0000,182.2
27,0.1181,0.9668,0.0156,1.0000,189.2
28,0.1075,0.9695,0.0082,1.0000,196.1
29,0.1110,0.9673,0.0203,0.9988,203.1
30,0.1098,0.9727,0.0056,1.0000,210.2
31,0.1084,0.9700,0.0107,1.0000,217.2
32,0.0941,0.9762,0.0047,1.0000,224.2
33,0.0872,0.9764,0.0031,1.0000,231.2
34,0.0785,0.9794,0.0083,1.0000,238.2
35,0.0796,0.9794,0.0026,1.0000,245.2
36,0.0656,0.9826,0.0033,1.0000,252.2
37,0.0771,0.9777,0.0022,1.0000,259.2
38,0.0917,0.9730,0.0029,1.0000,266.2
39,0.0789,0.9762,0.0061,1.0000,273.1
40,0.0759,0.9767,0.0119,0.9977,280.1
41,0.0768,0.9782,0.0021,1.0000,287.2
42,0.0644,0.9831,0.0018,1.0000,294.4
43,0.0698,0.9804,0.0056,1.0000,301.4
44,0.0828,0.9712,0.0029,1.0000,308.4
45,0.0607,0.9839,0.0018,1.0000,315.4
46,0.0661,0.9806,0.0032,1.0000,322.4
47,0.0726,0.9764,0.0047,1.0000,329.4
48,0.0632,0.9819,0.0012,1.0000,336.4
49,0.0592,0.9814,0.0016,1.0000,343.4
50,0.0685,0.9779,0.0044,1.0000,350.4
51,0.0748,0.9774,0.0025,1.0000,357.4
52,0.0593,0.9819,0.0044,1.0000,364.5
53,0.0669,0.9797,0.0057,1.0000,371.6
54,0.0421,0.9891,0.0007,1.0000,378.6
55,0.0472,0.9864,0.0014,1.0000,385.5
56,0.0450,0.9881,0.0013,1.0000,392.6
57,0.0533,0.9846,0.0025,1.0000,399.7
58,0.0612,0.9802,0.0018,1.0000,406.7
59,0.0512,0.9839,0.0013,1.0000,413.8
60,0.0492,0.9869,0.0013,1.0000,421.0
