epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.6147,0.1950,1.8691,0.3576,6.3
2,1.7738,0.3572,1.3964,0.4942,12.4
3,1.4538,0.4522,1.2031,0.4873,18.5
4,1.2613,0.5120,1.0539,0.5972,24.6
5,1.0867,0.5872,0.8766,0.6736,30.7
6,0.9493,0.6390,0.7449,0.6319,36.8
7,0.8206,0.6944,0.5612,0.7975,43.0
8,0.6883,0.7544,0.5636,0.7245,49.1
9,0.6032,0.7862,0.4394,0.8067,55.3
10,0.5340,0.8199,0.3011,0.8657,61.4
11,0.4658,0.8420,0.2608,0.9225,67.6
12,0.4103,0.8700,0.2058,0.9468,73.7
13,0.3975,0.8663,0.2937,0.8854,79.9
14,0.3470,0.8846,0.1464,0.9699,86.0
15,0.3223,0.8926,0.1741,0.9352,92.2
16,0.2811,0.9169,0.1027,0.9954,98.3
17,0.2945,0.9057,0.0996,0.9919,104.4
18,0.2448,0.9228,0.0764,0.9815,110.5
19,0.2156,0.9392,0.0626,1.0000,116.6
20,0.1967,0.9432,0.0594,0.9931,122.8
21,0.1916,0.9454,0.0572,0.9977,128.9
22,0.1903,0.9429,0.0402,0.9977,135.0
23,0.1747,0.9514,0.0315,0.9988,141.1
24,0.1734,0.9474,0.0270,1.0000,147.2
25,0.1614,0.9556,0.0268,0.9977,153.3
26,0.1457,0.9568,0.0219,1.0000,159.4
27,0.1380,0.9613,0.0737,0.9803,165.5
28,0.1387,0.9566,0.0134,1.0000,171.6
29,0.1339,0.9613,0.0181,0.9988,177.7
30,0.1413,0.9593,0.0256,0.9988,183.9
31,0.1227,0.9663,0.0211,0.9988,189.9
32,0.1147,0.9660,0.0187,0.9988,196.0
33,0.1312,0.9601,0.0267,0.9931,202.0
34,0.1246,0.9620,0.0087,1.0000,208.1
35,0.1181,0.9601,0.0097,1.0000,214.2
36,0.0992,0.9732,0.0097,1.0000,220.2
37,0.0966,0.9727,0.0116,1.0000,226.3
38,0.1062,0.9695,0.0091,1.0000,232.3
39,0.0979,0.9692,0.0061,1.0000,238.4
40,0.0973,0.9675,0.0070,0.9988,244.5
41,0.0872,0.9740,0.0105,1.0000,250.5
42,0.0846,0.9754,0.0049,0.9988,256.6
43,0.0911,0.9705,0.0055,0.9988,262.6
44,0.0808,0.9787,0.0070,0.9988,268.6
45,0.0866,0.9740,0.0061,0.9988,274.7
46,0.0937,0.9727,0.0035,1.0000,280.8
47,0.0781,0.9779,0.0065,1.0000,286.9
48,0.0743,0.9782,0.0266,0.9907,293.1
49,0.0942,0.9695,0.0242,0.9896,299.2
50,0.0808,0.9737,0.0060,0.9988,305.4
51,0.0880,0.9722,0.0066,1.0000,311.5
52,0.0861,0.9737,0.0079,1.0000,317.6
53,0.0824,0.9744,0.0099,1.0000,323.7
54,0.0777,0.9730,0.0038,1.0000,329.8
55,0.0718,0.9774,0.0049,1.0000,336.0
56,0.0668,0.9814,0.0035,0.9988,342.1
57,0.0703,0.9797,0.0024,1.0000,348.2
58,0.1105,0.9663,0.0122,1.0000,354.4
59,0.0730,0.9772,0.0026,1.0000,360.5
60,0.0693,0.9784,0.0021,1.0000,366.6
