epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.1927,0.5827,0.3280,0.8866,6.3
2,0.3099,0.8985,0.0943,0.9803,12.4
3,0.1742,0.9390,0.0647,0.9653,18.5
4,0.1177,0.9615,0.0178,0.9942,24.7
5,0.1106,0.9670,0.0647,0.9676,30.8
6,0.1136,0.9606,0.0085,1.0000,36.9
7,0.0813,0.9744,0.0009,1.0000,43.1
8,0.0788,0.9762,0.0050,1.0000,49.3
9,0.0850,0.9727,0.0088,1.0000,55.4
10,0.0554,0.9814,0.0008,1.0000,61.5
11,0.0648,0.9774,0.0186,0.9907,67.6
12,0.1035,0.9685,0.0109,0.9965,73.7
13,0.0670,0.9779,0.0004,1.0000,79.9
14,0.0710,0.9797,0.0004,1.0000,86.0
15,0.0643,0.9794,0.0010,1.0000,92.2
16,0.0638,0.9826,0.0058,1.0000,98.4
17,0.0728,0.9737,0.0023,1.0000,104.6
18,0.0509,0.9846,0.0008,1.0000,110.7
19,0.0586,0.9821,0.0001,1.0000,116.9
20,0.0689,0.9797,0.0020,1.0000,123.1
21,0.0442,0.9864,0.0001,1.0000,129.3
22,0.0634,0.9789,0.0022,1.0000,135.4
23,0.0580,0.9834,0.0001,1.0000,141.6
24,0.0466,0.9856,0.0004,1.0000,147.7
25,0.0552,0.9839,0.0004,1.0000,153.9
26,0.0648,0.9809,0.0001,1.0000,160.1
27,0.0439,0.9869,0.0000,1.0000,166.2
28,0.0515,0.9841,0.0000,1.0000,172.3
29,0.0551,0.9836,0.0001,1.0000,178.5
30,0.0281,0.9923,0.0004,1.0000,184.6
31,0.0312,0.9901,0.0009,1.0000,190.8
32,0.0340,0.9896,0.0004,1.0000,196.9
33,0.0423,0.9873,0.0019,1.0000,203.0
34,0.0465,0.9856,0.0002,1.0000,209.1
35,0.0291,0.9911,0.0003,1.0000,215.2
36,0.0305,0.9896,0.0002,1.0000,221.3
37,0.0348,0.9888,0.0019,1.0000,227.4
38,0.0346,0.9893,0.0004,1.0000,233.5
39,0.0392,0.9886,0.0067,0.9965,239.6
40,0.0595,0.9851,0.0003,1.0000,245.8
41,0.0363,0.9913,0.0001,1.0000,252.0
42,0.0481,0.9856,0.0000,1.0000,258.2
43,0.0404,0.9866,0.0000,1.0000,264.5
44,0.0256,0.9916,0.0000,1.0000,270.7
45,0.0321,0.9908,0.0001,1.0000,276.9
46,0.0499,0.9854,0.0002,1.0000,283.1
47,0.0430,0.9873,0.0000,1.0000,289.3
48,0.0418,0.9871,0.0000,1.0000,295.5
49,0.0361,0.9893,0.0000,1.0000,301.7
50,0.0374,0.9881,0.0021,1.0000,307.9
51,0.0437,0.9854,0.0001,1.0000,314.1
52,0.0362,0.9891,0.0000,1.0000,320.4
53,0.0234,0.9918,0.0000,1.0000,326.6
54,0.0330,0.9903,0.0017,1.0000,332.8
55,0.0252,0.9913,0.0000,1.0000,338.9
56,0.0346,0.9886,0.0001,1.0000,345.1
57,0.0297,0.9921,0.0000,1.0000,351.3
58,0.0288,0.9908,0.0000,1.0000,357.4
59,0.0321,0.9888,0.0001,1.0000,363.6
60,0.0249,0.9923,0.0000,1.0000,369.8
