epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.2561,0.1265,3.2108,0.1736,1.4
2,2.8622,0.2396,2.6245,0.2847,2.5
3,2.5687,0.3199,2.2748,0.3750,3.6
4,2.2810,0.3810,1.9399,0.4444,4.7
5,2.0666,0.4271,1.7491,0.5486,5.9
6,1.8709,0.4955,1.5782,0.6458,7.0
7,1.6890,0.5461,1.4317,0.5972,8.1
8,1.5519,0.5938,1.3187,0.5833,9.2
9,1.4589,0.6280,1.2064,0.5347,10.4
10,1.3081,0.6577,1.1102,0.6181,11.5
11,1.2248,0.6949,1.0161,0.6875,12.6
12,1.1421,0.7068,0.9242,0.8056,13.8
13,1.0536,0.7485,0.8376,0.8958,14.9
14,0.9570,0.7768,0.7210,0.9722,16.0
15,0.9351,0.7693,0.6851,0.9097,17.2
16,0.8477,0.8110,0.5928,0.8889,18.3
17,0.7628,0.8259,0.5579,0.8819,19.4
18,0.6932,0.8765,0.4678,0.9375,20.5
19,0.6689,0.8646,0.4043,1.0000,21.7
20,0.5806,0.9033,0.3565,1.0000,22.8
21,0.5716,0.8899,0.3245,1.0000,23.9
22,0.5529,0.9003,0.2751,1.0000,25.0
23,0.4898,0.9018,0.2413,1.0000,26.2
24,0.4502,0.9360,0.2153,1.0000,27.4
25,0.4293,0.9196,0.1880,1.0000,28.5
26,0.3757,0.9494,0.1594,1.0000,29.7
27,0.3536,0.9435,0.1374,1.0000,30.8
28,0.3308,0.9464,0.1169,1.0000,32.0
29,0.3230,0.9464,0.1170,1.0000,33.1
30,0.3103,0.9524,0.1179,1.0000,34.3
31,0.2902,0.9598,0.0825,1.0000,35.4
32,0.2859,0.9494,0.0974,0.9792,36.6
33,0.2600,0.9539,0.0685,1.0000,37.7
34,0.2413,0.9613,0.0846,0.9792,38.9
35,0.2329,0.9717,0.0511,1.0000,40.0
36,0.2287,0.9658,0.0467,1.0000,41.1
37,0.2205,0.9658,0.0459,1.0000,42.3
38,0.2200,0.9747,0.0477,1.0000,43.5
39,0.2087,0.9673,0.0404,1.0000,44.6
40,0.2040,0.9643,0.0363,1.0000,45.7
41,0.1528,0.9896,0.0359,1.0000,46.8
42,0.1596,0.9792,0.0232,1.0000,47.9
43,0.1528,0.9792,0.0217,1.0000,49.1
44,0.1525,0.9777,0.0193,1.0000,50.2
45,0.1420,0.9792,0.0186,1.0000,51.4
46,0.1494,0.9807,0.0183,1.0000,52.5
47,0.1505,0.9821,0.0152,1.0000,53.6
48,0.1335,0.9836,0.0185,1.0000,54.8
49,0.1337,0.9792,0.0166,1.0000,55.9
50,0.1292,0.9926,0.0120,1.0000,57.0
51,0.1069,0.9881,0.0126,1.0000,58.2
52,0.1079,0.9881,0.0116,1.0000,59.3
53,0.1072,0.9836,0.0095,1.0000,60.5
54,0.1138,0.9807,0.0099,1.0000,61.6
55,0.0978,0.9836,0.0078,1.0000,62.8
56,0.0925,0.9896,0.0089,1.0000,64.0
57,0.0960,0.9851,0.0060,1.0000,65.1
58,0.0845,0.9911,0.0062,1.0000,66.3
59,0.0900,0.9911,0.0072,1.0000,67.4
60,0.0975,0.9821,0.0168,1.0000,68.5
