epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.2074,0.0871,2.8592,0.1484,8.1
2,2.7451,0.1708,2.3372,0.2578,11.2
3,2.3797,0.2232,2.0536,0.3464,14.3
4,2.1215,0.2651,1.8013,0.4141,17.3
5,1.9104,0.3371,1.6369,0.4297,20.3
6,1.7840,0.3627,1.5034,0.4583,23.4
7,1.6586,0.4129,1.3821,0.5208,26.5
8,1.5450,0.4386,1.3038,0.5312,29.5
9,1.4798,0.4727,1.2356,0.5573,32.6
10,1.4027,0.4827,1.1477,0.6172,35.6
11,1.3219,0.5045,1.0847,0.5755,38.6
12,1.2580,0.5206,1.0266,0.6432,41.6
13,1.1967,0.5485,0.9467,0.6432,44.7
14,1.1490,0.5631,0.9329,0.6641,47.7
15,1.0926,0.5954,0.8699,0.6615,50.7
16,1.0461,0.5954,0.8296,0.6458,53.8
17,0.9989,0.6289,0.7952,0.6693,56.8
18,0.9626,0.6496,0.7252,0.7057,59.9
19,0.8941,0.6886,0.6932,0.8021,62.9
20,0.8788,0.6791,0.6750,0.7214,65.9
21,0.8553,0.7132,0.6550,0.7396,69.0
22,0.7954,0.7243,0.5790,0.9010,72.0
23,0.7504,0.7573,0.5043,0.8620,75.0
24,0.7410,0.7645,0.5103,0.8568,78.1
25,0.6969,0.7645,0.4598,0.7891,81.1
26,0.6457,0.7907,0.4926,0.8203,84.1
27,0.6751,0.7706,0.5014,0.8333,87.1
28,0.6312,0.7924,0.4121,0.8854,90.1
29,0.5815,0.8041,0.3594,0.9219,93.1
30,0.5459,0.8220,0.3087,0.8880,96.2
31,0.5506,0.8175,0.2893,0.9141,99.2
32,0.5042,0.8460,0.3012,0.8854,102.2
33,0.5100,0.8298,0.4147,0.8307,105.3
34,0.5076,0.8326,0.2930,0.9167,108.3
35,0.4789,0.8354,0.2363,0.9661,111.4
36,0.4754,0.8566,0.2405,0.9766,114.5
37,0.4341,0.8588,0.2404,0.9297,117.5
38,0.4141,0.8717,0.1904,0.9948,120.5
39,0.4242,0.8605,0.2350,0.9583,123.5
40,0.3992,0.8756,0.1780,0.9948,126.5
41,0.3979,0.8711,0.1941,0.9714,129.5
42,0.3982,0.8711,0.1694,0.9714,132.6
43,0.3644,0.8923,0.1602,0.9714,135.7
44,0.3588,0.8923,0.1602,0.9714,138.7
45,0.3986,0.8661,0.1666,0.9870,141.7
46,0.3543,0.8951,0.1891,0.9453,144.8
47,0.3675,0.8884,0.1857,0.9792,147.8
48,0.3327,0.8923,0.1440,0.9714,150.9
49,0.3187,0.9057,0.1058,0.9922,153.9
50,0.3162,0.8956,0.1555,0.9844,157.0
51,0.2963,0.9202,0.0919,1.0000,160.0
52,0.3172,0.8890,0.1030,0.9766,163.1
53,0.2762,0.9174,0.0996,0.9974,166.1
54,0.2732,0.9152,0.0875,0.9948,169.2
