size,seed,n_params,in_dist_full_32_train_v1,in_dist_full_32_train_v2,xrun_acc,xrun_macro_f1
S,0,13790,1.0000,1.0000,1.0000,1.0000
S,1,13790,1.0000,1.0000,1.0000,1.0000
S,2,13790,1.0000,1.0000,0.9062,0.7143
S,3,13790,1.0000,1.0000,0.9375,0.8095
S,4,13790,1.0000,1.0000,0.9688,0.9048
M,0,30366,1.0000,1.0000,1.0000,1.0000
M,1,30366,1.0000,1.0000,0.9375,0.8095
M,2,30366,1.0000,1.0000,1.0000,1.0000
M,3,30366,1.0000,1.0000,1.0000,1.0000
M,4,30366,1.0000,1.0000,0.9688,0.9048
L,0,52142,1.0000,1.0000,0.9375,0.8190
L,1,52142,1.0000,1.0000,1.0000,1.0000
L,2,52142,1.0000,1.0000,0.9688,0.9619
L,3,52142,1.0000,1.0000,0.9688,0.9048
L,4,52142,1.0000,1.0000,1.0000,1.0000
XL,0,104110,1.0000,1.0000,0.9688,0.9048
XL,1,104110,1.0000,1.0000,1.0000,1.0000
XL,2,104110,1.0000,1.0000,1.0000,1.0000
XL,3,104110,1.0000,1.0000,1.0000,1.0000
XL,4,104110,1.0000,1.0000,1.0000,1.0000
