epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.4840,0.5815,0.9957,0.7630,3.2
2,0.8422,0.7695,0.5772,0.9219,6.3
3,0.5353,0.8845,0.3362,0.9323,9.3
4,0.3431,0.9492,0.1683,1.0000,12.3
5,0.2263,0.9799,0.1009,1.0000,15.4
6,0.1419,0.9950,0.0457,1.0000,18.5
7,0.0993,0.9983,0.0261,1.0000,21.5
8,0.0616,0.9983,0.0130,1.0000,24.6
9,0.0481,0.9994,0.0074,1.0000,27.7
10,0.0369,0.9989,0.0069,1.0000,30.7
11,0.0317,1.0000,0.0149,1.0000,33.8
12,0.0241,1.0000,0.0030,1.0000,36.9
13,0.0233,1.0000,0.0020,1.0000,39.9
14,0.0188,0.9994,0.0025,1.0000,43.0
15,0.0130,1.0000,0.0011,1.0000,46.1
16,0.0137,1.0000,0.0016,1.0000,49.2
17,0.0134,0.9994,0.0011,1.0000,52.2
18,0.0112,1.0000,0.0009,1.0000,55.3
19,0.0096,1.0000,0.0006,1.0000,58.3
20,0.0068,1.0000,0.0005,1.0000,61.4
21,0.0075,1.0000,0.0004,1.0000,64.4
22,0.0080,1.0000,0.0004,1.0000,67.5
23,0.0077,1.0000,0.0003,1.0000,70.5
24,0.0061,1.0000,0.0003,1.0000,73.6
25,0.0061,1.0000,0.0003,1.0000,76.7
26,0.0065,1.0000,0.0002,1.0000,79.7
27,0.0053,1.0000,0.0002,1.0000,82.8
28,0.0035,1.0000,0.0002,1.0000,85.9
29,0.0038,1.0000,0.0001,1.0000,89.0
30,0.0032,1.0000,0.0001,1.0000,92.1
31,0.0029,1.0000,0.0001,1.0000,95.2
32,0.0022,1.0000,0.0001,1.0000,98.2
33,0.0092,0.9994,0.0006,1.0000,101.3
34,0.0059,1.0000,0.0002,1.0000,104.3
35,0.0049,1.0000,0.0003,1.0000,107.4
36,0.0035,1.0000,0.0001,1.0000,110.5
37,0.0019,1.0000,0.0000,1.0000,113.5
38,0.0024,1.0000,0.0001,1.0000,116.6
39,0.0024,1.0000,0.0001,1.0000,119.7
40,0.0023,1.0000,0.0001,1.0000,122.7
41,0.0019,1.0000,0.0000,1.0000,125.7
42,0.0024,1.0000,0.0000,1.0000,128.8
43,0.0015,1.0000,0.0000,1.0000,131.9
44,0.0358,0.9911,0.5104,0.8932,135.0
45,0.0403,0.9922,0.0008,1.0000,138.1
46,0.0093,0.9994,0.0002,1.0000,141.2
47,0.0033,1.0000,0.0001,1.0000,144.3
48,0.0027,1.0000,0.0000,1.0000,147.4
49,0.0025,1.0000,0.0000,1.0000,150.6
50,0.0024,1.0000,0.0000,1.0000,153.7
51,0.0019,1.0000,0.0000,1.0000,156.7
52,0.0012,1.0000,0.0000,1.0000,159.8
53,0.0016,1.0000,0.0000,1.0000,162.9
54,0.0017,1.0000,0.0000,1.0000,166.0
55,0.0011,1.0000,0.0000,1.0000,169.2
56,0.0010,1.0000,0.0000,1.0000,172.2
57,0.0010,1.0000,0.0000,1.0000,175.3
58,0.0013,1.0000,0.0000,1.0000,178.4
59,0.0013,1.0000,0.0000,1.0000,181.5
60,0.0012,1.0000,0.0000,1.0000,184.5
