epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.5753,0.5893,0.9609,0.7839,3.3
2,0.8534,0.8052,0.5347,0.8984,6.3
3,0.5391,0.9040,0.2903,0.9609,9.4
4,0.3506,0.9621,0.1397,1.0000,12.4
5,0.2293,0.9794,0.0773,1.0000,15.5
6,0.1539,0.9916,0.0437,1.0000,18.6
7,0.1098,0.9972,0.0214,1.0000,21.7
8,0.0816,0.9972,0.0178,1.0000,24.8
9,0.0584,0.9983,0.0073,1.0000,27.9
10,0.0497,0.9989,0.0054,1.0000,31.0
11,0.0374,0.9994,0.0042,1.0000,34.0
12,0.0332,0.9989,0.0032,1.0000,37.1
13,0.0286,0.9994,0.0022,1.0000,40.2
14,0.0222,1.0000,0.0021,1.0000,43.2
15,0.0184,1.0000,0.0016,1.0000,46.3
16,0.0227,0.9994,0.0014,1.0000,49.4
17,0.0218,0.9994,0.0041,1.0000,52.5
18,0.0155,0.9994,0.0006,1.0000,55.5
19,0.0125,1.0000,0.0007,1.0000,58.6
20,0.0107,1.0000,0.0005,1.0000,61.6
21,0.0115,1.0000,0.0005,1.0000,64.7
22,0.0124,0.9994,0.0006,1.0000,67.8
23,0.0120,0.9994,0.0003,1.0000,70.9
24,0.0105,1.0000,0.0004,1.0000,73.9
25,0.0090,0.9994,0.0002,1.0000,77.0
26,0.0084,0.9994,0.0007,1.0000,80.0
27,0.0081,1.0000,0.0003,1.0000,83.1
28,0.0092,0.9978,0.0003,1.0000,86.2
29,0.0110,0.9989,0.0002,1.0000,89.3
30,0.0064,0.9994,0.0001,1.0000,92.4
31,0.0058,1.0000,0.0001,1.0000,95.4
32,0.0052,1.0000,0.0001,1.0000,98.5
33,0.0074,0.9994,0.0001,1.0000,101.6
34,0.0056,1.0000,0.0001,1.0000,104.6
35,0.0036,1.0000,0.0001,1.0000,107.7
36,0.0034,1.0000,0.0001,1.0000,110.8
37,0.0046,0.9994,0.0001,1.0000,113.8
38,0.0055,0.9994,0.0001,1.0000,116.9
39,0.0047,1.0000,0.0001,1.0000,120.0
40,0.0039,1.0000,0.0001,1.0000,123.0
41,0.0083,0.9983,0.0003,1.0000,126.1
42,0.0077,0.9994,0.0002,1.0000,129.1
43,0.0045,1.0000,0.0000,1.0000,132.2
44,0.0043,1.0000,0.0001,1.0000,135.3
45,0.0041,1.0000,0.0000,1.0000,138.3
46,0.0031,1.0000,0.0000,1.0000,141.4
47,0.0049,1.0000,0.0001,1.0000,144.5
48,0.0029,1.0000,0.0000,1.0000,147.6
49,0.0018,1.0000,0.0000,1.0000,150.7
50,0.0022,1.0000,0.0000,1.0000,153.8
51,0.0030,0.9994,0.0000,1.0000,156.8
52,0.0019,1.0000,0.0000,1.0000,159.9
53,0.0018,1.0000,0.0000,1.0000,162.9
54,0.0024,1.0000,0.0001,1.0000,166.0
55,0.0021,1.0000,0.0000,1.0000,169.1
56,0.0015,1.0000,0.0000,1.0000,172.2
57,0.0017,1.0000,0.0000,1.0000,175.3
58,0.0045,0.9989,0.1133,0.9688,178.4
59,0.0076,0.9994,0.0000,1.0000,181.4
60,0.0032,1.0000,0.0000,1.0000,184.4
