epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.7741,0.5435,1.2178,0.6354,3.4
2,1.1763,0.6635,0.9326,0.7422,6.4
3,0.9385,0.7160,0.7405,0.7656,9.4
4,0.7508,0.7712,0.5526,0.8906,12.5
5,0.5838,0.8549,0.3893,0.9635,15.5
6,0.4578,0.9040,0.2920,0.9271,18.6
7,0.3680,0.9157,0.2202,0.9531,21.6
8,0.3275,0.9196,0.2036,0.9635,24.6
9,0.2534,0.9515,0.1363,0.9896,27.7
10,0.2130,0.9671,0.0917,1.0000,30.7
11,0.1814,0.9810,0.0823,1.0000,33.8
12,0.1464,0.9872,0.0485,1.0000,36.8
13,0.1093,0.9911,0.0335,1.0000,39.8
14,0.0972,0.9944,0.0190,1.0000,42.9
15,0.0813,0.9955,0.0183,1.0000,45.9
16,0.0763,0.9944,0.0101,1.0000,48.9
17,0.0565,0.9994,0.0065,1.0000,51.9
18,0.0515,0.9950,0.0073,1.0000,55.0
19,0.0503,0.9955,0.0045,1.0000,58.0
20,0.0444,0.9961,0.0429,1.0000,61.0
21,0.0389,0.9972,0.0033,1.0000,64.1
22,0.0349,0.9989,0.0027,1.0000,67.1
23,0.0295,0.9983,0.0024,1.0000,70.1
24,0.0347,0.9955,0.0364,0.9870,73.2
25,0.0325,0.9961,0.0017,1.0000,76.2
26,0.0299,0.9978,0.0020,1.0000,79.2
27,0.0250,0.9989,0.0010,1.0000,82.2
28,0.0264,0.9978,0.0009,1.0000,85.2
29,0.0158,1.0000,0.0006,1.0000,88.3
30,0.0207,0.9972,0.0009,1.0000,91.3
31,0.0149,1.0000,0.0007,1.0000,94.4
32,0.0158,1.0000,0.0006,1.0000,97.4
33,0.0196,0.9983,0.0064,1.0000,100.5
34,0.0223,0.9972,0.0260,0.9870,103.6
35,0.0202,0.9978,0.0005,1.0000,106.6
36,0.0143,0.9989,0.0009,1.0000,109.7
37,0.0150,0.9989,0.0006,1.0000,112.7
38,0.0138,0.9989,0.0002,1.0000,115.8
39,0.0096,0.9994,0.0003,1.0000,118.8
40,0.0109,1.0000,0.0002,1.0000,121.8
41,0.0112,0.9994,0.0002,1.0000,124.8
42,0.0179,0.9978,0.0003,1.0000,127.9
43,0.0131,0.9994,0.0004,1.0000,131.0
44,0.0083,1.0000,0.0002,1.0000,134.0
45,0.0082,1.0000,0.0001,1.0000,137.1
46,0.0106,0.9994,0.0005,1.0000,140.1
47,0.0097,1.0000,0.0001,1.0000,143.1
48,0.0169,0.9967,0.0004,1.0000,146.2
49,0.0096,0.9989,0.0001,1.0000,149.3
50,0.0103,0.9994,0.0001,1.0000,152.3
51,0.0112,0.9983,0.0006,1.0000,155.3
52,0.0254,0.9961,0.0009,1.0000,158.4
53,0.0082,1.0000,0.0001,1.0000,161.5
54,0.0083,1.0000,0.0001,1.0000,164.5
55,0.0081,0.9994,0.0001,1.0000,167.6
56,0.0073,0.9994,0.0001,1.0000,170.6
57,0.0041,1.0000,0.0000,1.0000,173.7
58,0.0054,1.0000,0.0001,1.0000,176.7
59,0.0060,1.0000,0.0001,1.0000,179.8
60,0.0055,0.9994,0.0000,1.0000,182.9
