epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,0.4111,0.8817,0.0126,1.0000,3.3
2,0.0166,0.9972,0.0020,1.0000,6.3
3,0.0055,1.0000,0.0005,1.0000,9.3
4,0.0031,1.0000,0.0003,1.0000,12.4
5,0.0028,1.0000,0.0002,1.0000,15.5
6,0.0018,1.0000,0.0001,1.0000,18.5
7,0.0010,1.0000,0.0001,1.0000,21.6
8,0.0010,1.0000,0.0001,1.0000,24.6
9,0.0028,1.0000,0.0001,1.0000,27.7
10,0.0023,0.9994,0.0001,1.0000,30.7
11,0.0008,1.0000,0.0000,1.0000,33.8
12,0.0009,1.0000,0.0000,1.0000,36.9
13,0.0019,0.9994,0.0001,1.0000,40.0
14,0.0050,0.9989,0.0001,1.0000,43.1
15,0.0004,1.0000,0.0000,1.0000,46.2
16,0.0023,0.9983,0.0001,1.0000,49.3
17,0.0032,0.9994,0.0001,1.0000,52.4
18,0.0037,0.9983,0.0001,1.0000,55.5
19,0.0061,0.9989,0.0002,1.0000,58.7
20,0.0008,1.0000,0.0000,1.0000,61.8
21,0.0011,1.0000,0.0000,1.0000,64.9
22,0.0006,1.0000,0.0000,1.0000,68.0
23,0.0041,0.9978,0.0018,1.0000,71.2
24,0.0022,1.0000,0.0000,1.0000,74.3
25,0.0023,0.9994,0.0000,1.0000,77.4
26,0.0226,0.9944,0.0001,1.0000,80.5
27,0.0081,0.9972,0.0000,1.0000,83.6
28,0.0015,1.0000,0.0000,1.0000,86.8
29,0.0014,1.0000,0.0000,1.0000,89.9
30,0.0002,1.0000,0.0000,1.0000,93.0
31,0.0002,1.0000,0.0000,1.0000,96.1
32,0.0008,0.9994,0.0000,1.0000,99.2
33,0.0065,0.9972,0.0000,1.0000,102.3
34,0.0002,1.0000,0.0000,1.0000,105.4
35,0.0002,1.0000,0.0000,1.0000,108.5
36,0.0002,1.0000,0.0000,1.0000,111.6
37,0.0000,1.0000,0.0000,1.0000,114.7
38,0.0010,0.9994,0.0000,1.0000,117.8
39,0.0017,0.9989,0.0000,1.0000,120.9
40,0.0002,1.0000,0.0000,1.0000,124.0
41,0.0016,0.9989,0.0000,1.0000,127.1
42,0.0004,1.0000,0.0000,1.0000,130.2
43,0.0114,0.9972,0.0002,1.0000,133.3
44,0.0030,0.9994,0.0000,1.0000,136.4
45,0.0002,1.0000,0.0000,1.0000,139.5
46,0.0003,1.0000,0.0000,1.0000,142.6
47,0.0115,0.9983,0.0000,1.0000,145.6
48,0.0019,0.9994,0.0000,1.0000,148.7
49,0.0001,1.0000,0.0000,1.0000,151.8
50,0.0000,1.0000,0.0000,1.0000,154.9
51,0.0002,1.0000,0.0000,1.0000,158.0
52,0.0036,0.9989,0.0000,1.0000,161.1
53,0.0019,0.9994,0.0000,1.0000,164.1
54,0.0002,1.0000,0.0000,1.0000,167.2
55,0.0001,1.0000,0.0000,1.0000,170.3
56,0.0000,1.0000,0.0000,1.0000,173.4
57,0.0001,1.0000,0.0000,1.0000,176.5
58,0.0001,1.0000,0.0000,1.0000,179.6
59,0.0099,0.9972,0.0005,1.0000,182.7
60,0.0144,0.9972,0.0000,1.0000,185.8
