epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.2995,0.6583,0.6108,0.9071,5.1
2,0.5681,0.8894,0.2358,1.0000,9.9
3,0.2865,0.9629,0.1017,1.0000,14.8
4,0.1570,0.9883,0.0318,1.0000,19.6
5,0.0853,0.9990,0.0138,1.0000,24.4
6,0.0565,0.9983,0.0066,1.0000,29.2
7,0.0400,0.9990,0.0036,1.0000,34.1
8,0.0261,0.9997,0.0032,1.0000,39.0
9,0.0248,0.9993,0.0022,1.0000,44.0
10,0.0223,0.9993,0.0019,1.0000,48.9
11,0.0172,0.9997,0.0006,1.0000,53.8
12,0.0129,1.0000,0.0005,1.0000,58.8
13,0.0110,1.0000,0.0005,1.0000,63.7
14,0.0159,0.9986,0.0004,1.0000,68.6
15,0.0124,0.9986,0.0003,1.0000,73.5
16,0.0077,1.0000,0.0003,1.0000,78.4
17,0.0061,1.0000,0.0002,1.0000,83.3
18,0.0071,0.9997,0.0001,1.0000,88.2
19,0.0048,1.0000,0.0001,1.0000,93.1
20,0.0048,1.0000,0.0001,1.0000,98.0
21,0.0060,0.9997,0.0002,1.0000,102.9
22,0.0052,0.9997,0.0001,1.0000,107.9
23,0.0034,1.0000,0.0000,1.0000,112.8
24,0.0038,1.0000,0.0001,1.0000,117.8
25,0.0046,1.0000,0.0001,1.0000,122.7
26,0.0055,0.9990,0.0001,1.0000,127.6
27,0.0049,1.0000,0.0000,1.0000,132.5
28,0.0042,0.9997,0.0001,1.0000,137.4
29,0.0033,1.0000,0.0000,1.0000,142.3
30,0.0023,1.0000,0.0000,1.0000,147.2
31,0.0030,1.0000,0.0000,1.0000,152.1
32,0.0025,1.0000,0.0000,1.0000,157.1
33,0.0024,1.0000,0.0000,1.0000,162.0
34,0.0017,1.0000,0.0000,1.0000,166.9
35,0.0012,1.0000,0.0000,1.0000,171.8
36,0.0013,1.0000,0.0000,1.0000,176.7
37,0.0021,1.0000,0.0000,1.0000,181.7
38,0.0091,0.9976,0.0029,1.0000,186.6
39,0.0196,0.9966,0.0000,1.0000,191.5
40,0.0029,1.0000,0.0000,1.0000,196.4
41,0.0022,1.0000,0.0000,1.0000,201.3
42,0.0019,1.0000,0.0000,1.0000,206.3
43,0.0023,1.0000,0.0000,1.0000,211.3
44,0.0018,1.0000,0.0000,1.0000,216.2
45,0.0038,0.9990,0.0001,1.0000,221.1
46,0.0019,1.0000,0.0000,1.0000,226.1
47,0.0018,1.0000,0.0000,1.0000,230.9
48,0.0019,1.0000,0.0000,1.0000,235.8
49,0.0017,1.0000,0.0000,1.0000,240.7
50,0.0027,0.9997,0.0002,1.0000,245.6
51,0.0033,0.9993,0.0000,1.0000,250.5
52,0.0013,1.0000,0.0000,1.0000,255.4
53,0.0010,1.0000,0.0000,1.0000,260.3
54,0.0050,0.9983,0.0004,1.0000,265.2
55,0.0055,0.9990,0.0000,1.0000,270.1
56,0.0016,1.0000,0.0001,1.0000,275.0
57,0.0016,0.9997,0.0000,1.0000,279.9
58,0.0027,0.9997,0.0001,1.0000,284.8
59,0.0016,1.0000,0.0000,1.0000,289.8
60,0.0032,0.9993,0.0000,1.0000,294.7
