epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.6190,0.5728,1.1121,0.7051,5.1
2,0.9823,0.7129,0.7484,0.7981,10.0
3,0.6826,0.8084,0.4874,0.8798,14.9
4,0.4757,0.8850,0.3132,0.9135,19.8
5,0.3519,0.9159,0.2106,0.9599,24.7
6,0.2715,0.9413,0.1445,0.9712,29.6
7,0.2026,0.9657,0.1007,1.0000,34.5
8,0.1485,0.9828,0.0544,1.0000,39.4
9,0.1148,0.9897,0.0301,1.0000,44.3
10,0.0860,0.9924,0.0149,1.0000,49.2
11,0.0679,0.9938,0.0109,1.0000,54.1
12,0.0573,0.9948,0.0072,1.0000,59.0
13,0.0491,0.9976,0.0064,1.0000,63.9
14,0.0377,0.9983,0.0056,1.0000,68.9
15,0.0359,0.9979,0.0024,1.0000,73.7
16,0.0293,0.9986,0.0019,1.0000,78.6
17,0.0306,0.9962,0.0018,1.0000,83.5
18,0.0228,0.9997,0.0022,1.0000,88.4
19,0.0217,0.9979,0.0011,1.0000,93.3
20,0.0197,0.9986,0.0008,1.0000,98.2
21,0.0210,0.9969,0.0009,1.0000,103.0
22,0.0185,0.9983,0.0009,1.0000,107.9
23,0.0181,0.9986,0.0042,1.0000,112.8
24,0.0156,0.9983,0.0026,1.0000,117.6
25,0.0183,0.9979,0.0004,1.0000,122.5
26,0.0196,0.9969,0.0044,1.0000,127.4
27,0.0143,0.9983,0.0002,1.0000,132.3
28,0.0108,0.9990,0.0002,1.0000,137.1
29,0.0123,0.9986,0.0013,1.0000,142.1
30,0.0108,0.9997,0.0004,1.0000,147.0
31,0.0140,0.9976,0.0005,1.0000,151.9
32,0.0123,0.9993,0.0003,1.0000,156.9
33,0.0097,0.9986,0.0001,1.0000,161.8
34,0.0103,0.9979,0.0003,1.0000,166.8
35,0.0075,0.9993,0.0003,1.0000,171.7
36,0.0128,0.9976,0.0001,1.0000,176.6
37,0.0111,0.9990,0.0001,1.0000,181.6
38,0.0094,0.9986,0.0002,1.0000,186.5
39,0.0108,0.9976,0.0003,1.0000,191.4
40,0.0080,0.9993,0.0001,1.0000,196.3
41,0.0061,1.0000,0.0000,1.0000,201.3
42,0.0053,0.9997,0.0001,1.0000,206.2
43,0.0051,0.9997,0.0000,1.0000,211.1
44,0.0092,0.9986,0.0000,1.0000,216.1
45,0.0041,1.0000,0.0000,1.0000,221.0
46,0.0056,0.9990,0.0001,1.0000,225.9
47,0.0051,0.9993,0.0000,1.0000,230.9
48,0.0080,0.9993,0.0001,1.0000,235.8
49,0.0096,0.9979,0.0016,1.0000,240.7
50,0.0066,0.9997,0.0000,1.0000,245.6
51,0.0065,0.9990,0.0001,1.0000,250.5
52,0.0105,0.9979,0.0002,1.0000,255.5
53,0.0044,0.9997,0.0000,1.0000,260.4
54,0.0077,0.9979,0.0038,1.0000,265.4
55,0.0105,0.9983,0.0004,1.0000,270.3
56,0.0062,0.9986,0.0000,1.0000,275.3
57,0.0043,0.9990,0.0000,1.0000,280.2
58,0.0036,1.0000,0.0001,1.0000,285.2
59,0.0060,0.9990,0.0001,1.0000,290.1
60,0.0044,0.9997,0.0000,1.0000,295.0
