epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,0.2703,0.9317,0.0038,1.0000,5.2
2,0.0061,1.0000,0.0005,1.0000,10.2
3,0.0032,0.9997,0.0002,1.0000,15.4
4,0.0015,1.0000,0.0001,1.0000,20.5
5,0.0009,1.0000,0.0001,1.0000,25.6
6,0.0009,1.0000,0.0000,1.0000,30.7
7,0.0007,1.0000,0.0001,1.0000,35.8
8,0.0012,1.0000,0.0000,1.0000,40.9
9,0.0016,1.0000,0.0000,1.0000,46.0
10,0.0004,1.0000,0.0000,1.0000,51.0
11,0.0007,1.0000,0.0002,1.0000,56.1
12,0.0044,0.9990,0.0020,1.0000,61.2
13,0.0325,0.9904,0.0001,1.0000,66.3
14,0.0029,0.9990,0.0002,1.0000,71.4
15,0.0059,0.9976,0.0000,1.0000,76.5
16,0.0015,0.9997,0.0000,1.0000,81.6
17,0.0001,1.0000,0.0000,1.0000,86.7
18,0.0003,1.0000,0.0000,1.0000,91.9
19,0.0004,0.9997,0.0000,1.0000,96.9
20,0.0002,1.0000,0.0000,1.0000,102.0
21,0.0001,1.0000,0.0000,1.0000,107.1
22,0.0003,1.0000,0.0000,1.0000,112.1
23,0.0011,0.9993,0.0000,1.0000,117.2
24,0.0023,0.9993,0.0000,1.0000,122.3
25,0.0004,1.0000,0.0000,1.0000,127.4
26,0.0002,1.0000,0.0000,1.0000,132.5
27,0.0001,1.0000,0.0000,1.0000,137.6
28,0.0094,0.9969,0.0000,1.0000,142.6
29,0.0020,0.9997,0.0000,1.0000,147.7
30,0.0006,0.9997,0.0000,1.0000,152.7
31,0.0052,0.9986,0.0000,1.0000,157.8
32,0.0001,1.0000,0.0000,1.0000,162.9
33,0.0113,0.9969,0.0000,1.0000,167.9
34,0.0008,0.9997,0.0000,1.0000,173.0
35,0.0015,0.9997,0.0000,1.0000,178.1
36,0.0025,0.9993,0.0000,1.0000,183.1
37,0.0045,0.9986,0.0000,1.0000,188.2
38,0.0057,0.9976,0.0000,1.0000,193.3
39,0.0007,1.0000,0.0000,1.0000,198.4
40,0.0001,1.0000,0.0000,1.0000,203.4
41,0.0026,0.9986,0.0000,1.0000,208.5
42,0.0001,1.0000,0.0000,1.0000,213.6
43,0.0005,0.9997,0.0000,1.0000,218.6
44,0.0001,1.0000,0.0000,1.0000,223.7
45,0.0013,0.9993,0.0000,1.0000,228.8
46,0.0047,0.9993,0.0000,1.0000,233.8
47,0.0000,1.0000,0.0000,1.0000,238.9
48,0.0013,0.9993,0.0000,1.0000,244.0
49,0.0002,1.0000,0.0000,1.0000,249.1
50,0.0004,1.0000,0.0000,1.0000,254.1
51,0.0057,0.9979,0.0000,1.0000,259.1
52,0.0056,0.9986,0.0000,1.0000,264.2
53,0.0002,1.0000,0.0000,1.0000,269.2
54,0.0001,1.0000,0.0000,1.0000,274.3
55,0.0019,0.9990,0.0000,1.0000,279.4
56,0.0015,0.9997,0.0000,1.0000,284.5
57,0.0001,1.0000,0.0000,1.0000,289.5
58,0.0003,1.0000,0.0000,1.0000,294.6
59,0.0001,1.0000,0.0000,1.0000,299.7
60,0.0000,1.0000,0.0000,1.0000,304.7
