epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.2360,0.6600,0.7087,0.7821,4.8
2,0.5755,0.8633,0.3303,0.9535,9.3
3,0.2969,0.9519,0.1241,1.0000,13.8
4,0.1494,0.9904,0.0394,1.0000,18.4
5,0.0808,0.9973,0.0196,1.0000,22.9
6,0.0466,0.9990,0.0121,1.0000,27.5
7,0.0313,0.9997,0.0042,1.0000,32.0
8,0.0222,0.9997,0.0072,1.0000,36.5
9,0.0200,0.9993,0.0014,1.0000,41.0
10,0.0151,1.0000,0.0011,1.0000,45.5
11,0.0120,1.0000,0.0011,1.0000,50.1
12,0.0109,0.9997,0.0013,1.0000,54.7
13,0.0072,1.0000,0.0005,1.0000,59.2
14,0.0063,1.0000,0.0014,1.0000,63.8
15,0.0063,1.0000,0.0004,1.0000,68.4
16,0.0126,0.9986,0.0053,1.0000,73.1
17,0.0095,1.0000,0.0002,1.0000,77.7
18,0.0073,1.0000,0.0005,1.0000,82.4
19,0.0050,0.9997,0.0001,1.0000,87.0
20,0.0084,0.9986,0.0003,1.0000,91.6
21,0.0048,0.9997,0.0002,1.0000,96.2
22,0.0027,1.0000,0.0001,1.0000,100.8
23,0.0059,0.9993,0.0003,1.0000,105.3
24,0.0026,1.0000,0.0000,1.0000,110.0
25,0.0018,1.0000,0.0000,1.0000,114.5
26,0.0015,1.0000,0.0000,1.0000,119.2
27,0.0013,1.0000,0.0000,1.0000,123.8
28,0.0011,1.0000,0.0000,1.0000,128.4
29,0.0102,0.9990,0.0002,1.0000,133.0
30,0.0058,0.9993,0.0001,1.0000,137.6
31,0.0031,0.9997,0.0000,1.0000,142.3
32,0.0021,1.0000,0.0000,1.0000,146.9
33,0.0065,0.9979,0.0001,1.0000,151.5
34,0.0026,1.0000,0.0000,1.0000,156.2
35,0.0012,1.0000,0.0000,1.0000,160.7
36,0.0022,1.0000,0.0000,1.0000,165.3
37,0.0012,1.0000,0.0000,1.0000,170.0
38,0.0013,1.0000,0.0000,1.0000,174.5
39,0.0009,1.0000,0.0000,1.0000,179.2
40,0.0009,1.0000,0.0000,1.0000,183.8
41,0.0010,1.0000,0.0000,1.0000,188.4
42,0.0027,0.9993,0.0048,1.0000,193.1
43,0.0032,1.0000,0.0001,1.0000,197.7
44,0.0011,1.0000,0.0000,1.0000,202.3
45,0.0005,1.0000,0.0000,1.0000,207.0
46,0.0008,1.0000,0.0000,1.0000,211.6
47,0.0005,1.0000,0.0000,1.0000,216.2
48,0.0006,1.0000,0.0000,1.0000,220.8
49,0.0005,1.0000,0.0000,1.0000,225.4
50,0.0005,1.0000,0.0000,1.0000,230.0
51,0.0004,1.0000,0.0000,1.0000,234.6
52,0.0003,1.0000,0.0000,1.0000,239.2
53,0.0005,1.0000,0.0000,1.0000,243.9
54,0.0004,1.0000,0.0000,1.0000,248.5
55,0.0003,1.0000,0.0000,1.0000,253.1
56,0.0004,1.0000,0.0000,1.0000,257.7
57,0.0004,1.0000,0.0000,1.0000,262.2
58,0.0024,0.9997,0.0519,0.9792,266.8
59,0.0223,0.9948,0.0003,1.0000,271.4
60,0.0064,0.9986,0.0000,1.0000,276.0
