epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.5345,0.6058,1.0027,0.7324,4.8
2,0.9246,0.7266,0.6587,0.7516,9.3
3,0.6326,0.8283,0.4211,0.9519,13.9
4,0.4387,0.8918,0.2594,0.9487,18.5
5,0.3224,0.9145,0.1777,0.9423,23.0
6,0.2395,0.9519,0.1187,1.0000,27.6
7,0.1801,0.9756,0.0892,0.9888,32.1
8,0.1273,0.9883,0.0408,1.0000,36.6
9,0.0992,0.9904,0.0195,1.0000,41.1
10,0.0731,0.9952,0.0101,1.0000,45.6
11,0.0630,0.9955,0.0076,1.0000,50.1
12,0.0513,0.9962,0.0045,1.0000,54.6
13,0.0410,0.9979,0.0038,1.0000,59.1
14,0.0305,0.9983,0.0028,1.0000,63.7
15,0.0357,0.9962,0.0032,1.0000,68.2
16,0.0300,0.9983,0.0015,1.0000,72.7
17,0.0249,0.9983,0.0014,1.0000,77.3
18,0.0176,0.9993,0.0011,1.0000,81.8
19,0.0233,0.9966,0.0008,1.0000,86.3
20,0.0215,0.9976,0.0014,1.0000,90.9
21,0.0203,0.9983,0.0013,1.0000,95.4
22,0.0169,0.9993,0.0023,1.0000,100.0
23,0.0145,0.9993,0.0047,1.0000,104.5
24,0.0167,0.9983,0.0003,1.0000,109.0
25,0.0137,0.9993,0.0022,1.0000,113.5
26,0.0131,0.9990,0.0002,1.0000,118.0
27,0.0091,0.9993,0.0002,1.0000,122.6
28,0.0131,0.9976,0.0002,1.0000,127.1
29,0.0143,0.9973,0.0004,1.0000,131.6
30,0.0138,0.9979,0.0004,1.0000,136.1
31,0.0110,0.9986,0.0001,1.0000,140.6
32,0.0091,0.9993,0.0002,1.0000,145.1
33,0.0089,0.9997,0.0002,1.0000,149.6
34,0.0057,0.9997,0.0003,1.0000,154.2
35,0.0086,0.9986,0.0064,1.0000,158.8
36,0.0134,0.9966,0.0001,1.0000,163.4
37,0.0077,0.9997,0.0001,1.0000,167.9
38,0.0086,0.9983,0.0003,1.0000,172.5
39,0.0085,0.9990,0.0001,1.0000,177.1
40,0.0104,0.9983,0.0001,1.0000,181.6
41,0.0116,0.9979,0.0002,1.0000,186.2
42,0.0082,0.9983,0.0000,1.0000,190.8
43,0.0059,0.9993,0.0000,1.0000,195.3
44,0.0072,0.9990,0.0006,1.0000,199.8
45,0.0098,0.9969,0.1343,0.9631,204.4
46,0.0089,0.9983,0.0001,1.0000,208.9
47,0.0058,0.9993,0.0000,1.0000,213.4
48,0.0040,0.9997,0.0000,1.0000,217.9
49,0.0028,1.0000,0.0000,1.0000,222.4
50,0.0056,0.9993,0.0001,1.0000,226.9
51,0.0066,0.9993,0.0000,1.0000,231.4
52,0.0096,0.9979,0.0000,1.0000,235.9
53,0.0064,0.9990,0.0000,1.0000,240.4
54,0.0059,0.9993,0.0002,1.0000,244.9
55,0.0053,0.9997,0.0000,1.0000,249.4
56,0.0055,0.9990,0.0001,1.0000,254.0
57,0.0084,0.9979,0.0001,1.0000,258.5
58,0.0107,0.9976,0.0005,1.0000,263.0
59,0.0065,0.9986,0.0000,1.0000,267.6
60,0.0047,0.9990,0.0001,1.0000,272.1
