epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.1590,0.4612,1.6732,0.7003,5.2
2,1.4819,0.6240,1.1637,0.7244,10.3
3,1.1191,0.6961,0.8654,0.7324,15.2
4,0.8540,0.7538,0.6180,0.8157,20.3
5,0.6154,0.8355,0.3926,0.8846,25.3
6,0.4337,0.8905,0.2596,0.9567,30.3
7,0.3205,0.9269,0.1786,0.9423,35.4
8,0.2408,0.9578,0.1257,0.9840,40.6
9,0.1837,0.9732,0.0643,1.0000,45.6
10,0.1368,0.9866,0.0437,1.0000,50.7
11,0.1016,0.9918,0.0202,1.0000,55.8
12,0.0851,0.9942,0.0132,1.0000,60.8
13,0.0624,0.9962,0.0081,1.0000,65.9
14,0.0486,0.9983,0.0056,1.0000,70.9
15,0.0485,0.9973,0.0121,1.0000,76.0
16,0.0413,0.9986,0.0045,1.0000,81.0
17,0.0373,0.9969,0.0030,1.0000,86.1
18,0.0276,0.9990,0.0018,1.0000,91.2
19,0.0288,0.9983,0.0018,1.0000,96.4
20,0.0244,0.9983,0.0012,1.0000,101.5
21,0.0279,0.9969,0.0130,1.0000,106.6
22,0.0230,0.9979,0.0009,1.0000,111.8
23,0.0203,0.9990,0.0009,1.0000,116.9
24,0.0178,0.9990,0.0018,1.0000,122.0
25,0.0199,0.9986,0.0008,1.0000,127.1
26,0.0160,0.9990,0.0203,0.9984,132.2
27,0.0146,0.9986,0.0005,1.0000,137.2
28,0.0183,0.9966,0.0004,1.0000,142.3
29,0.0119,0.9990,0.0005,1.0000,147.3
30,0.0139,0.9990,0.0006,1.0000,152.5
31,0.0125,0.9993,0.0004,1.0000,157.6
32,0.0129,0.9993,0.0002,1.0000,162.7
33,0.0126,0.9993,0.0002,1.0000,167.8
34,0.0084,1.0000,0.0001,1.0000,173.0
35,0.0090,1.0000,0.0002,1.0000,178.0
36,0.0110,0.9990,0.0002,1.0000,183.1
37,0.0088,0.9997,0.0001,1.0000,188.1
38,0.0075,1.0000,0.0001,1.0000,193.2
39,0.0073,0.9993,0.0001,1.0000,198.3
40,0.0084,0.9997,0.0001,1.0000,203.4
41,0.0071,0.9997,0.0001,1.0000,208.5
42,0.0061,1.0000,0.0001,1.0000,213.6
43,0.0060,1.0000,0.0001,1.0000,218.6
44,0.0079,0.9990,0.0001,1.0000,223.6
45,0.0088,0.9986,0.0001,1.0000,228.7
46,0.0070,0.9997,0.0001,1.0000,233.8
47,0.0072,0.9993,0.0001,1.0000,238.9
48,0.0070,0.9990,0.0001,1.0000,243.9
49,0.0076,1.0000,0.0001,1.0000,249.0
50,0.0047,1.0000,0.0001,1.0000,254.0
51,0.0066,0.9997,0.0000,1.0000,259.1
52,0.0061,1.0000,0.0001,1.0000,264.2
53,0.0066,0.9997,0.0001,1.0000,269.3
54,0.0065,0.9990,0.0000,1.0000,274.4
55,0.0062,0.9993,0.0000,1.0000,279.5
56,0.0071,0.9997,0.0000,1.0000,284.5
57,0.0065,0.9990,0.0001,1.0000,289.5
58,0.0059,0.9993,0.0000,1.0000,294.6
59,0.0064,0.9993,0.0000,1.0000,299.7
60,0.0053,0.9997,0.0001,1.0000,304.7
