epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.7586,0.1851,2.1054,0.3125,5.2
2,1.9365,0.3544,1.5652,0.3974,10.1
3,1.5648,0.4409,1.3329,0.4728,15.1
4,1.3426,0.5337,1.1289,0.6170,20.1
5,1.1666,0.5865,0.9293,0.6683,25.0
6,1.0150,0.6576,0.7766,0.7548,30.0
7,0.8702,0.7181,0.6842,0.7869,34.9
8,0.7594,0.7469,0.5677,0.7788,39.9
9,0.6594,0.7837,0.4607,0.8750,44.8
10,0.5717,0.8177,0.3969,0.8910,49.7
11,0.5096,0.8379,0.3226,0.9054,54.7
12,0.4583,0.8544,0.2394,0.9792,59.7
13,0.3941,0.8870,0.2192,0.9904,64.6
14,0.3564,0.9042,0.1638,0.9968,69.6
15,0.3254,0.9128,0.1634,0.9872,74.6
16,0.2836,0.9234,0.1485,0.9712,79.5
17,0.2547,0.9348,0.0864,0.9968,84.5
18,0.2447,0.9344,0.0846,1.0000,89.5
19,0.2213,0.9433,0.0732,0.9952,94.5
20,0.2086,0.9437,0.0583,1.0000,99.5
21,0.1882,0.9512,0.0819,0.9824,104.6
22,0.1755,0.9533,0.0474,1.0000,109.6
23,0.1624,0.9564,0.0316,1.0000,114.7
24,0.1576,0.9612,0.0365,1.0000,119.7
25,0.1490,0.9650,0.0347,1.0000,124.8
26,0.1307,0.9677,0.0179,1.0000,129.8
27,0.1219,0.9698,0.0162,1.0000,134.8
28,0.1287,0.9650,0.0128,1.0000,139.8
29,0.1159,0.9684,0.0092,1.0000,144.8
30,0.1021,0.9736,0.0073,1.0000,149.8
31,0.0942,0.9791,0.0090,1.0000,154.9
32,0.1095,0.9708,0.0104,1.0000,159.9
33,0.1047,0.9763,0.0085,1.0000,165.0
34,0.0884,0.9770,0.0092,1.0000,170.0
35,0.0932,0.9760,0.0060,1.0000,175.1
36,0.0842,0.9821,0.0050,1.0000,180.1
37,0.0899,0.9791,0.0068,1.0000,185.0
38,0.0817,0.9825,0.0043,1.0000,190.1
39,0.0914,0.9773,0.0055,1.0000,195.0
40,0.0866,0.9777,0.0058,1.0000,200.1
41,0.0716,0.9811,0.0027,1.0000,205.1
42,0.0574,0.9876,0.0026,1.0000,210.1
43,0.0736,0.9818,0.0026,1.0000,215.1
44,0.0774,0.9780,0.0024,1.0000,220.1
45,0.0660,0.9835,0.0028,1.0000,225.1
46,0.0825,0.9791,0.0090,1.0000,230.1
47,0.0704,0.9815,0.0016,1.0000,235.1
48,0.0781,0.9791,0.0021,1.0000,240.2
49,0.0658,0.9842,0.0046,1.0000,245.1
50,0.0597,0.9845,0.0026,1.0000,250.2
51,0.0622,0.9835,0.0017,1.0000,255.2
52,0.0513,0.9873,0.0012,1.0000,260.1
53,0.0513,0.9880,0.0018,1.0000,265.1
54,0.0567,0.9852,0.0029,1.0000,270.1
55,0.0534,0.9880,0.0013,1.0000,275.0
56,0.0595,0.9821,0.0010,1.0000,280.0
57,0.0586,0.9849,0.0010,1.0000,285.0
58,0.0456,0.9883,0.0009,1.0000,290.0
59,0.0458,0.9887,0.0008,1.0000,295.0
60,0.0537,0.9863,0.0015,1.0000,300.0
