epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.7689,0.2160,2.0017,0.3718,4.8
2,1.9452,0.3499,1.4803,0.5513,9.4
3,1.5372,0.4701,1.1968,0.5513,14.0
4,1.2768,0.5584,0.9615,0.6490,18.6
5,1.0565,0.6157,0.7252,0.7612,23.2
6,0.8875,0.6745,0.5792,0.7821,27.7
7,0.7508,0.7163,0.4737,0.8462,32.3
8,0.6533,0.7565,0.4223,0.8750,36.9
9,0.5781,0.7953,0.3477,0.9263,41.5
10,0.5180,0.8190,0.2912,0.8638,46.1
11,0.4577,0.8434,0.2734,0.8830,50.6
12,0.4087,0.8784,0.1990,0.9679,55.2
13,0.3407,0.9028,0.1533,0.9631,59.8
14,0.3279,0.9025,0.1238,0.9904,64.3
15,0.2927,0.9203,0.0972,0.9968,69.0
16,0.2534,0.9313,0.0800,0.9888,73.6
17,0.2282,0.9389,0.0584,1.0000,78.3
18,0.2130,0.9402,0.0515,1.0000,82.9
19,0.1809,0.9595,0.0346,1.0000,87.5
20,0.1742,0.9591,0.0353,0.9984,92.1
21,0.1700,0.9581,0.0372,1.0000,96.7
22,0.1651,0.9550,0.0236,1.0000,101.3
23,0.1420,0.9657,0.0152,1.0000,106.0
24,0.1412,0.9615,0.0198,1.0000,110.6
25,0.1395,0.9663,0.0168,1.0000,115.2
26,0.1229,0.9663,0.0143,1.0000,119.8
27,0.1252,0.9688,0.0131,1.0000,124.4
28,0.1199,0.9688,0.0082,1.0000,128.9
29,0.1215,0.9660,0.0085,1.0000,133.5
30,0.1053,0.9698,0.0070,1.0000,138.1
31,0.0914,0.9801,0.0068,1.0000,142.6
32,0.0902,0.9780,0.0070,1.0000,147.1
33,0.0932,0.9760,0.0095,1.0000,151.7
34,0.0995,0.9722,0.0043,1.0000,156.2
35,0.0929,0.9736,0.0071,1.0000,160.8
36,0.0872,0.9763,0.0054,1.0000,165.4
37,0.0901,0.9739,0.0049,1.0000,170.1
38,0.0914,0.9739,0.0070,1.0000,174.7
39,0.0662,0.9842,0.0026,1.0000,179.2
40,0.0762,0.9763,0.0022,1.0000,183.9
41,0.0807,0.9784,0.0038,1.0000,188.5
42,0.0721,0.9797,0.0039,1.0000,193.1
43,0.0570,0.9863,0.0023,1.0000,197.7
44,0.0699,0.9808,0.0025,1.0000,202.3
45,0.0765,0.9780,0.0088,1.0000,206.8
46,0.0621,0.9839,0.0022,1.0000,211.4
47,0.0723,0.9787,0.0016,1.0000,215.9
48,0.0706,0.9780,0.0026,1.0000,220.5
49,0.0634,0.9845,0.0020,1.0000,225.1
50,0.0542,0.9863,0.0022,1.0000,229.7
51,0.0590,0.9815,0.0012,1.0000,234.4
52,0.0617,0.9828,0.0019,1.0000,239.0
53,0.0666,0.9801,0.0014,1.0000,243.7
54,0.0637,0.9818,0.0009,1.0000,248.3
55,0.0641,0.9811,0.0009,1.0000,252.9
56,0.0481,0.9856,0.0012,1.0000,257.5
57,0.0581,0.9845,0.0012,1.0000,262.1
58,0.0626,0.9821,0.0012,1.0000,266.7
59,0.0536,0.9859,0.0012,1.0000,271.3
60,0.0478,0.9863,0.0013,1.0000,276.0
