epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.3927,0.5247,0.4559,0.8670,4.8
2,0.4167,0.8589,0.1040,0.9792,9.3
3,0.1844,0.9451,0.0514,0.9840,13.9
4,0.1206,0.9626,0.0156,1.0000,18.5
5,0.1069,0.9609,0.0217,1.0000,23.1
6,0.1183,0.9595,0.0329,0.9904,27.7
7,0.0891,0.9705,0.0040,1.0000,32.3
8,0.0656,0.9784,0.0093,1.0000,36.8
9,0.0799,0.9736,0.0034,1.0000,41.4
10,0.0869,0.9739,0.0022,1.0000,46.0
11,0.0587,0.9797,0.0073,1.0000,50.5
12,0.0625,0.9780,0.0007,1.0000,55.2
13,0.0675,0.9794,0.0013,1.0000,59.8
14,0.0845,0.9694,0.0040,1.0000,64.4
15,0.0511,0.9818,0.0012,1.0000,69.0
16,0.0471,0.9849,0.0003,1.0000,73.6
17,0.0699,0.9797,0.0012,1.0000,78.2
18,0.0466,0.9859,0.0097,0.9968,82.8
19,0.0408,0.9870,0.0005,1.0000,87.4
20,0.0575,0.9784,0.0001,1.0000,92.0
21,0.0468,0.9849,0.0002,1.0000,96.6
22,0.0532,0.9825,0.0001,1.0000,101.2
23,0.0495,0.9866,0.0001,1.0000,105.8
24,0.0453,0.9876,0.0003,1.0000,110.4
25,0.0361,0.9866,0.0001,1.0000,115.0
26,0.0389,0.9890,0.0023,1.0000,119.6
27,0.0458,0.9876,0.0001,1.0000,124.2
28,0.0501,0.9873,0.0017,1.0000,128.8
29,0.0497,0.9866,0.0005,1.0000,133.4
30,0.0640,0.9791,0.0076,1.0000,138.0
31,0.0420,0.9839,0.0002,1.0000,142.6
32,0.0310,0.9904,0.0000,1.0000,147.2
33,0.0414,0.9842,0.0002,1.0000,151.8
34,0.0527,0.9828,0.0001,1.0000,156.4
35,0.0437,0.9873,0.0002,1.0000,161.0
36,0.0316,0.9887,0.0003,1.0000,165.6
37,0.0347,0.9876,0.0002,1.0000,170.1
38,0.0544,0.9821,0.0003,1.0000,174.7
39,0.0488,0.9870,0.0000,1.0000,179.3
40,0.0420,0.9897,0.0001,1.0000,183.9
41,0.0446,0.9866,0.0003,1.0000,188.5
42,0.0607,0.9821,0.0001,1.0000,193.1
43,0.0409,0.9887,0.0008,1.0000,197.7
44,0.0446,0.9870,0.0001,1.0000,202.3
45,0.0728,0.9787,0.0027,1.0000,206.8
46,0.0261,0.9938,0.0034,1.0000,211.4
47,0.0286,0.9900,0.0000,1.0000,216.0
48,0.0279,0.9900,0.0000,1.0000,220.5
49,0.0334,0.9900,0.0000,1.0000,225.1
50,0.0333,0.9911,0.0000,1.0000,229.7
51,0.0267,0.9931,0.0000,1.0000,234.2
52,0.0258,0.9928,0.0000,1.0000,238.8
53,0.0213,0.9911,0.0000,1.0000,243.3
54,0.0214,0.9931,0.0000,1.0000,247.9
55,0.0314,0.9907,0.0000,1.0000,252.5
56,0.0253,0.9918,0.0016,1.0000,257.0
57,0.0406,0.9883,0.0001,1.0000,261.6
58,0.0452,0.9876,0.0002,1.0000,266.1
59,0.0127,0.9959,0.0000,1.0000,270.6
60,0.0258,0.9931,0.0000,1.0000,275.2
