epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.2026,0.1226,2.8921,0.2163,5.3
2,2.6962,0.2263,2.2768,0.2596,10.3
3,2.1797,0.3135,1.7774,0.4439,15.4
4,1.7935,0.3846,1.4710,0.4343,20.5
5,1.5106,0.4619,1.2287,0.5256,25.6
6,1.3125,0.5292,1.0760,0.5721,30.7
7,1.1453,0.5931,0.9578,0.6522,35.8
8,0.9974,0.6284,0.8429,0.6362,40.9
9,0.9000,0.6834,0.6734,0.7949,46.0
10,0.7751,0.7435,0.5822,0.7692,51.1
11,0.6693,0.7871,0.4636,0.8558,56.2
12,0.5878,0.8177,0.3517,0.9407,61.2
13,0.5158,0.8331,0.3195,0.8686,66.3
14,0.4604,0.8592,0.2881,0.9022,71.4
15,0.4044,0.8870,0.2524,0.9151,76.5
16,0.3396,0.9059,0.1545,0.9744,81.6
17,0.3314,0.9045,0.1456,0.9744,86.7
18,0.3019,0.9220,0.1142,0.9872,91.8
19,0.2711,0.9306,0.1082,0.9984,96.8
20,0.2407,0.9358,0.0944,0.9984,101.9
21,0.2264,0.9423,0.0968,0.9872,107.0
22,0.2116,0.9461,0.0680,0.9984,112.1
23,0.1879,0.9547,0.0480,1.0000,117.1
24,0.1602,0.9677,0.0416,0.9984,122.2
25,0.1606,0.9609,0.0430,0.9968,127.2
26,0.1490,0.9653,0.0517,1.0000,132.4
27,0.1530,0.9629,0.0295,1.0000,137.4
28,0.1369,0.9677,0.0274,0.9984,142.5
29,0.1257,0.9712,0.0209,0.9968,147.6
30,0.1230,0.9691,0.0151,1.0000,152.7
31,0.1268,0.9663,0.0381,0.9904,157.7
32,0.1059,0.9832,0.0113,1.0000,162.8
33,0.1042,0.9815,0.0158,1.0000,167.8
34,0.0946,0.9832,0.0088,1.0000,172.8
35,0.0886,0.9821,0.0088,1.0000,177.8
36,0.0839,0.9808,0.0084,1.0000,182.8
37,0.0746,0.9870,0.0067,1.0000,187.9
38,0.0945,0.9746,0.0089,1.0000,193.0
39,0.0803,0.9832,0.0057,1.0000,198.1
40,0.0804,0.9825,0.0058,1.0000,203.3
41,0.0738,0.9866,0.0061,1.0000,208.4
42,0.0752,0.9842,0.0059,1.0000,213.6
43,0.0669,0.9883,0.0045,1.0000,218.7
44,0.0751,0.9832,0.0060,1.0000,223.8
45,0.0629,0.9904,0.0042,1.0000,228.8
46,0.0557,0.9924,0.0043,1.0000,233.9
47,0.0606,0.9890,0.0034,1.0000,239.0
48,0.0572,0.9894,0.0034,1.0000,244.1
49,0.0603,0.9900,0.0034,1.0000,249.2
50,0.0553,0.9904,0.0029,1.0000,254.3
51,0.0623,0.9873,0.0034,1.0000,259.4
52,0.0519,0.9931,0.0029,1.0000,264.6
53,0.0522,0.9921,0.0027,1.0000,269.7
54,0.0582,0.9873,0.0026,1.0000,274.9
55,0.0531,0.9907,0.0024,1.0000,280.0
56,0.0564,0.9897,0.0029,1.0000,285.1
57,0.0538,0.9883,0.0029,1.0000,290.2
58,0.0524,0.9894,0.0027,1.0000,295.3
59,0.0475,0.9935,0.0025,1.0000,300.3
60,0.0561,0.9880,0.0024,1.0000,305.4
