epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.2445,0.1408,2.9420,0.2276,5.3
2,2.7654,0.2321,2.2605,0.3926,10.4
3,2.2007,0.3465,1.7418,0.4519,15.5
4,1.7832,0.4131,1.4231,0.5929,20.7
5,1.4894,0.4732,1.1498,0.6779,25.8
6,1.2379,0.5769,0.8895,0.6763,30.9
7,1.0186,0.6480,0.6718,0.7772,36.1
8,0.8314,0.7163,0.5460,0.8029,41.2
9,0.6956,0.7679,0.4289,0.8878,46.3
10,0.5936,0.7950,0.3628,0.8846,51.5
11,0.5104,0.8403,0.2833,0.9487,56.6
12,0.4532,0.8671,0.2404,0.9760,61.7
13,0.3928,0.8922,0.1737,0.9567,66.8
14,0.3514,0.9025,0.1545,0.9792,71.9
15,0.2926,0.9248,0.1082,0.9872,77.1
16,0.2648,0.9299,0.0917,1.0000,82.2
17,0.2442,0.9461,0.0745,1.0000,87.4
18,0.2081,0.9533,0.0570,1.0000,92.5
19,0.1862,0.9626,0.0488,1.0000,97.6
20,0.1734,0.9681,0.0377,1.0000,102.8
21,0.1638,0.9653,0.0318,0.9968,107.9
22,0.1357,0.9739,0.0202,1.0000,113.0
23,0.1387,0.9715,0.0154,1.0000,118.1
24,0.1184,0.9773,0.0187,1.0000,123.2
25,0.1101,0.9773,0.0097,1.0000,128.4
26,0.1145,0.9766,0.0108,1.0000,133.5
27,0.1030,0.9787,0.0173,1.0000,138.6
28,0.1019,0.9804,0.0079,1.0000,143.7
29,0.0797,0.9842,0.0062,1.0000,148.8
30,0.0864,0.9801,0.0048,1.0000,153.9
31,0.0788,0.9859,0.0053,1.0000,158.9
32,0.0814,0.9842,0.0058,1.0000,164.1
33,0.0825,0.9832,0.0034,1.0000,169.2
34,0.0789,0.9811,0.0034,1.0000,174.4
35,0.0648,0.9876,0.0029,1.0000,179.6
36,0.0609,0.9887,0.0026,1.0000,184.8
37,0.0724,0.9845,0.0024,1.0000,190.0
38,0.0653,0.9845,0.0028,1.0000,195.1
39,0.0653,0.9863,0.0022,1.0000,200.2
40,0.0545,0.9911,0.0023,1.0000,205.3
41,0.0614,0.9873,0.0020,1.0000,210.5
42,0.0544,0.9890,0.0014,1.0000,215.6
43,0.0460,0.9924,0.0018,1.0000,220.8
44,0.0485,0.9931,0.0014,1.0000,226.0
45,0.0512,0.9897,0.0014,1.0000,231.1
46,0.0510,0.9883,0.0011,1.0000,236.3
47,0.0423,0.9921,0.0012,1.0000,241.5
48,0.0438,0.9900,0.0011,1.0000,246.7
49,0.0420,0.9942,0.0011,1.0000,251.9
50,0.0418,0.9928,0.0009,1.0000,257.0
51,0.0474,0.9900,0.0011,1.0000,262.1
52,0.0446,0.9914,0.0009,1.0000,267.3
53,0.0434,0.9918,0.0010,1.0000,272.5
54,0.0459,0.9907,0.0010,1.0000,277.6
55,0.0408,0.9938,0.0008,1.0000,282.9
56,0.0370,0.9952,0.0009,1.0000,288.1
57,0.0401,0.9914,0.0008,1.0000,293.3
58,0.0369,0.9942,0.0009,1.0000,298.4
59,0.0416,0.9907,0.0009,1.0000,303.6
60,0.0371,0.9938,0.0009,1.0000,308.8
