epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.8493,0.4069,1.0401,0.6490,5.3
2,0.8005,0.7469,0.3609,0.8958,10.4
3,0.3101,0.9114,0.0753,1.0000,15.4
4,0.1217,0.9742,0.0200,1.0000,20.5
5,0.1008,0.9756,0.0240,1.0000,25.6
6,0.0568,0.9849,0.0043,1.0000,30.7
7,0.0727,0.9777,0.0037,1.0000,35.8
8,0.0328,0.9918,0.0012,1.0000,40.8
9,0.0297,0.9924,0.0018,1.0000,45.8
10,0.0294,0.9907,0.0009,1.0000,50.9
11,0.0434,0.9849,0.0042,1.0000,56.0
12,0.0329,0.9897,0.0085,1.0000,61.0
13,0.0416,0.9870,0.0002,1.0000,66.1
14,0.0332,0.9907,0.0009,1.0000,71.1
15,0.0220,0.9938,0.0001,1.0000,76.2
16,0.0294,0.9914,0.0003,1.0000,81.3
17,0.0380,0.9887,0.0049,1.0000,86.4
18,0.0247,0.9914,0.0003,1.0000,91.4
19,0.0289,0.9904,0.0001,1.0000,96.5
20,0.0264,0.9918,0.0483,0.9904,101.6
21,0.0271,0.9921,0.0002,1.0000,106.6
22,0.0340,0.9897,0.0005,1.0000,111.7
23,0.0246,0.9924,0.0004,1.0000,116.7
24,0.0295,0.9924,0.0021,1.0000,121.8
25,0.0231,0.9935,0.0001,1.0000,126.8
26,0.0193,0.9952,0.0006,1.0000,131.9
27,0.0141,0.9962,0.0001,1.0000,136.9
28,0.0177,0.9931,0.0000,1.0000,141.9
29,0.0128,0.9962,0.0000,1.0000,147.0
30,0.0154,0.9952,0.0002,1.0000,152.0
31,0.0141,0.9952,0.0000,1.0000,157.0
32,0.0089,0.9973,0.0045,1.0000,162.1
33,0.0105,0.9969,0.0001,1.0000,167.2
34,0.0132,0.9959,0.0000,1.0000,172.2
35,0.0062,0.9986,0.0000,1.0000,177.3
36,0.0101,0.9973,0.0000,1.0000,182.3
37,0.0124,0.9969,0.0004,1.0000,187.4
38,0.0164,0.9959,0.0000,1.0000,192.4
39,0.0085,0.9979,0.0000,1.0000,197.4
40,0.0111,0.9969,0.0000,1.0000,202.4
41,0.0129,0.9969,0.0001,1.0000,207.4
42,0.0104,0.9962,0.0000,1.0000,212.5
43,0.0092,0.9976,0.0000,1.0000,217.5
44,0.0080,0.9979,0.0000,1.0000,222.6
45,0.0072,0.9976,0.0000,1.0000,227.7
46,0.0062,0.9973,0.0000,1.0000,232.7
47,0.0079,0.9973,0.0000,1.0000,237.8
48,0.0062,0.9983,0.0000,1.0000,242.9
49,0.0043,0.9986,0.0000,1.0000,248.0
50,0.0050,0.9986,0.0000,1.0000,253.1
51,0.0106,0.9976,0.0000,1.0000,258.1
52,0.0017,1.0000,0.0000,1.0000,263.2
53,0.0029,0.9993,0.0000,1.0000,268.2
54,0.0056,0.9979,0.0000,1.0000,273.3
55,0.0042,0.9986,0.0000,1.0000,278.4
56,0.0061,0.9976,0.0000,1.0000,283.5
57,0.0027,0.9997,0.0000,1.0000,288.6
58,0.0044,0.9986,0.0000,1.0000,293.7
59,0.0043,0.9986,0.0000,1.0000,298.8
60,0.0071,0.9973,0.0000,1.0000,303.9
