model,state_idx,truth_state,truth_cls14,pred_state,pred_cls14,correct_32,correct_14,margin,argmax_q,second_q,infer_us
v1234_factory,0,s00000,A1,s11001,A2,0,0,9,9,0,1893
v1234_factory,1,s10000,A2,s10000,A2,1,1,2,48,46,1893
v1234_factory,2,s01000,A1,s11001,A2,0,0,8,11,3,1893
v1234_factory,3,s11000,A2,s11000,A2,1,1,13,41,28,1893
v1234_factory,4,s00100,A1,s11001,A2,0,0,9,4,-5,1893
v1234_factory,5,s10100,A2,s10000,A2,0,1,3,38,35,1893
v1234_factory,6,s01100,A1,s11001,A2,0,0,13,12,-1,1893
v1234_factory,7,s11100,A2,s11000,A2,0,1,21,43,22,1893
v1234_factory,8,s00010,B1,s00010,B1,1,1,5,17,12,1893
v1234_factory,9,s10010,B2,s11010,B4,0,0,5,24,19,1893
v1234_factory,10,s01010,B3,s01010,B3,1,1,15,29,14,1893
v1234_factory,11,s11010,B4,s11010,B4,1,1,49,43,-6,1893
v1234_factory,12,s00110,B1,s11001,A2,0,0,4,11,7,1893
v1234_factory,13,s10110,B2,s10110,B2,1,1,4,18,14,1893
v1234_factory,14,s01110,B3,s01010,B3,0,1,14,27,13,1893
v1234_factory,15,s11110,B4,s11010,B4,0,1,48,41,-7,1893
v1234_factory,16,s00001,A1,s11001,A2,0,0,9,8,-1,1893
v1234_factory,17,s10001,A2,s10001,A2,1,1,7,37,30,1893
v1234_factory,18,s01001,A1,s11001,A2,0,0,14,23,9,1894
v1234_factory,19,s11001,A2,s11000,A2,0,1,12,24,12,1893
v1234_factory,20,s00101,A1,s11001,A2,0,0,13,3,-10,1893
v1234_factory,21,s10101,A2,s10001,A2,0,1,7,25,18,1893
v1234_factory,22,s01101,A1,s11001,A2,0,0,17,19,2,1893
v1234_factory,23,s11101,A2,s11000,A2,0,1,18,24,6,1893
v1234_factory,24,s00011,C1,s11000,A2,0,0,4,8,4,1893
v1234_factory,25,s10011,C2,s10000,A2,0,0,8,5,-3,1893
v1234_factory,26,s01011,C3,s11000,A2,0,0,7,4,-3,1893
v1234_factory,27,s11011,C4,s11000,A2,0,0,7,4,-3,1893
v1234_factory,28,s00111,C5,s10001,A2,0,0,5,-1,-6,1893
v1234_factory,29,s10111,C6,s10111,C6,1,1,4,15,11,1893
v1234_factory,30,s01111,C7,s11000,A2,0,0,6,1,-5,1893
v1234_factory,31,s11111,C8,s11000,A2,0,0,6,16,10,1893
v1234_live,0,s00000,A1,s00000,A1,1,1,40,107,67,1893
v1234_live,1,s10000,A2,s10000,A2,1,1,18,54,36,1893
v1234_live,2,s01000,A1,s01000,A1,1,1,24,71,47,1893
v1234_live,3,s11000,A2,s11000,A2,1,1,23,37,14,1893
