epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.4178,0.0595,3.4035,0.0833,1.9
2,3.2460,0.1458,3.1860,0.1806,3.4
3,3.0533,0.1920,2.9369,0.2014,5.0
4,2.8504,0.2500,2.7004,0.1875,6.7
5,2.6021,0.2842,2.4725,0.1806,8.5
6,2.4098,0.3348,2.2640,0.2569,10.2
7,2.2215,0.3408,2.1022,0.2778,11.9
8,2.0741,0.3586,1.9707,0.3125,13.9
9,1.9470,0.3795,1.8618,0.3681,15.7
10,1.8415,0.4271,1.7534,0.4097,17.4
11,1.7487,0.4554,1.6624,0.4653,19.0
12,1.6603,0.4926,1.5759,0.4583,20.8
13,1.5471,0.5446,1.4627,0.6528,22.6
14,1.5141,0.5402,1.3829,0.6597,24.3
15,1.4290,0.5610,1.3651,0.6250,26.1
16,1.3653,0.6399,1.2729,0.8125,27.6
17,1.3190,0.6176,1.1971,0.7153,29.3
18,1.2523,0.6518,1.1717,0.7569,31.1
19,1.1821,0.6905,1.0886,0.7083,32.7
20,1.1172,0.7068,1.0120,0.7361,34.3
21,1.0736,0.6920,0.9963,0.7986,35.9
22,1.0339,0.7143,0.9106,0.8889,37.4
23,0.9770,0.7574,0.8741,0.9167,39.1
24,0.9370,0.7604,0.8070,0.8542,40.8
25,0.8831,0.7961,0.7745,0.8750,42.6
26,0.8294,0.8140,0.7122,0.8958,44.3
27,0.8210,0.8036,0.7108,0.8194,45.8
28,0.7694,0.8482,0.6571,0.8681,47.3
29,0.6997,0.8542,0.5814,0.9375,49.1
30,0.6871,0.8631,0.6020,0.8542,50.7
