epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.2960,0.3899,2.1921,0.5486,1.6
2,1.7170,0.5030,1.4120,0.5764,3.2
3,1.4239,0.5506,1.0771,0.7153,4.5
4,1.2069,0.6548,0.9078,0.7847,6.0
5,1.0750,0.7009,0.7809,0.8264,7.4
6,0.9468,0.7396,0.6411,0.9097,8.9
7,0.8300,0.8170,0.5168,0.9722,10.4
8,0.7213,0.8497,0.4219,0.9653,12.0
9,0.6297,0.8973,0.3368,0.9792,13.9
10,0.5368,0.9107,0.2780,1.0000,15.4
11,0.4542,0.9226,0.2248,0.9931,16.9
12,0.4011,0.9345,0.1909,1.0000,18.5
13,0.3333,0.9702,0.1655,1.0000,19.9
14,0.3072,0.9598,0.1335,1.0000,21.5
15,0.2617,0.9777,0.1166,1.0000,23.2
16,0.2422,0.9792,0.0969,1.0000,24.9
17,0.2138,0.9792,0.0824,1.0000,26.4
18,0.1973,0.9851,0.0733,1.0000,28.1
19,0.1836,0.9911,0.0574,1.0000,30.0
20,0.1443,0.9970,0.0496,1.0000,31.7
21,0.1326,0.9970,0.0399,1.0000,33.3
22,0.1173,0.9970,0.0341,1.0000,35.0
23,0.0998,0.9985,0.0260,1.0000,36.4
24,0.0969,0.9985,0.0284,1.0000,37.9
25,0.0807,0.9985,0.0189,1.0000,39.5
26,0.0706,1.0000,0.0165,1.0000,41.1
27,0.0672,1.0000,0.0181,1.0000,42.5
28,0.0619,1.0000,0.0137,1.0000,44.0
29,0.0561,0.9985,0.0130,1.0000,45.7
30,0.0491,1.0000,0.0096,1.0000,47.3
31,0.0435,0.9985,0.0085,1.0000,48.9
32,0.0459,1.0000,0.0075,1.0000,50.7
33,0.0439,1.0000,0.0070,1.0000,52.2
34,0.0457,1.0000,0.0073,1.0000,53.8
35,0.0369,0.9985,0.0064,1.0000,55.4
36,0.0413,0.9985,0.0060,1.0000,57.0
37,0.0334,1.0000,0.0053,1.0000,58.7
38,0.0282,1.0000,0.0040,1.0000,60.2
39,0.0273,1.0000,0.0039,1.0000,61.6
40,0.0289,1.0000,0.0061,1.0000,63.3
41,0.0236,1.0000,0.0031,1.0000,65.0
42,0.0228,1.0000,0.0026,1.0000,66.8
43,0.0229,1.0000,0.0042,1.0000,68.2
44,0.0238,1.0000,0.0036,1.0000,69.8
45,0.0197,1.0000,0.0023,1.0000,71.4
46,0.0199,1.0000,0.0029,1.0000,73.1
47,0.0185,0.9985,0.0020,1.0000,74.9
48,0.0204,1.0000,0.0020,1.0000,76.5
49,0.0158,1.0000,0.0029,1.0000,78.0
50,0.0147,1.0000,0.0016,1.0000,79.7
51,0.0116,1.0000,0.0015,1.0000,81.4
52,0.0166,1.0000,0.0012,1.0000,82.8
53,0.0152,1.0000,0.0030,1.0000,84.7
54,0.0134,1.0000,0.0011,1.0000,86.5
55,0.0135,1.0000,0.0011,1.0000,88.2
56,0.0129,1.0000,0.0019,1.0000,89.9
57,0.0170,1.0000,0.0053,1.0000,91.7
58,0.0157,1.0000,0.0014,1.0000,93.3
59,0.0106,1.0000,0.0015,1.0000,95.3
60,0.0109,1.0000,0.0011,1.0000,97.2
