epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.9911,0.4777,1.5200,0.6667,1.8
2,1.3550,0.6161,0.9464,0.6667,3.7
3,1.0854,0.6429,0.7066,0.7778,5.5
4,0.9125,0.7188,0.5695,0.8750,7.3
5,0.7667,0.8125,0.4479,0.9236,9.1
6,0.6177,0.8765,0.3514,0.9792,10.9
7,0.5313,0.9077,0.2468,0.9583,12.7
8,0.4492,0.9077,0.2166,0.9653,14.5
9,0.3577,0.9464,0.1783,1.0000,16.2
10,0.3113,0.9449,0.1256,1.0000,18.0
11,0.2539,0.9792,0.0984,1.0000,19.8
12,0.2187,0.9821,0.0926,1.0000,21.7
13,0.1818,0.9866,0.0521,1.0000,23.6
14,0.1530,0.9926,0.0373,1.0000,25.4
15,0.1259,0.9985,0.0353,1.0000,27.2
16,0.0937,0.9970,0.0228,1.0000,29.0
17,0.0786,1.0000,0.0148,1.0000,30.8
18,0.0722,0.9985,0.0121,1.0000,32.5
19,0.0595,1.0000,0.0089,1.0000,34.4
20,0.0440,0.9985,0.0087,1.0000,36.2
21,0.0488,1.0000,0.0070,1.0000,38.1
22,0.0406,1.0000,0.0049,1.0000,39.9
23,0.0370,1.0000,0.0060,1.0000,41.7
24,0.0302,1.0000,0.0040,1.0000,43.4
25,0.0299,1.0000,0.0085,1.0000,45.1
26,0.0260,1.0000,0.0032,1.0000,46.9
27,0.0254,1.0000,0.0024,1.0000,48.8
28,0.0202,1.0000,0.0019,1.0000,50.5
29,0.0178,1.0000,0.0018,1.0000,52.3
30,0.0224,1.0000,0.0018,1.0000,54.2
31,0.0183,1.0000,0.0015,1.0000,56.0
32,0.0182,1.0000,0.0016,1.0000,57.7
33,0.0172,1.0000,0.0014,1.0000,59.6
34,0.0163,1.0000,0.0014,1.0000,61.4
35,0.0319,0.9985,0.0040,1.0000,63.2
36,0.0175,1.0000,0.0010,1.0000,65.0
37,0.0131,1.0000,0.0009,1.0000,66.7
38,0.0121,1.0000,0.0009,1.0000,68.6
39,0.0124,1.0000,0.0007,1.0000,70.4
40,0.0135,1.0000,0.0017,1.0000,72.2
41,0.0151,1.0000,0.0028,1.0000,73.9
42,0.0120,1.0000,0.0006,1.0000,75.7
43,0.0107,1.0000,0.0005,1.0000,77.5
44,0.0075,1.0000,0.0005,1.0000,79.3
45,0.0072,1.0000,0.0003,1.0000,81.1
46,0.0078,1.0000,0.0004,1.0000,82.9
47,0.0075,1.0000,0.0004,1.0000,84.7
48,0.0068,1.0000,0.0004,1.0000,86.5
49,0.0061,1.0000,0.0003,1.0000,88.2
50,0.0080,1.0000,0.0004,1.0000,90.0
51,0.0067,1.0000,0.0003,1.0000,91.8
52,0.0070,1.0000,0.0003,1.0000,93.5
53,0.0055,1.0000,0.0002,1.0000,95.4
54,0.0046,1.0000,0.0002,1.0000,97.1
55,0.0040,1.0000,0.0002,1.0000,98.9
56,0.0044,1.0000,0.0002,1.0000,100.7
57,0.0059,1.0000,0.0002,1.0000,102.5
58,0.0049,1.0000,0.0002,1.0000,104.3
59,0.0052,1.0000,0.0003,1.0000,106.0
60,0.0039,1.0000,0.0002,1.0000,107.8
