epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,1.9754,0.5312,1.6982,0.6667,5.8
2,1.3037,0.7158,0.8445,0.7708,7.5
3,0.9951,0.7426,0.5727,0.9236,9.3
4,0.7799,0.8542,0.4311,0.9792,11.1
5,0.6569,0.8690,0.3274,0.9583,12.9
6,0.5495,0.8899,0.2648,1.0000,14.7
7,0.4689,0.9211,0.2104,1.0000,16.5
8,0.3813,0.9688,0.1521,1.0000,18.3
9,0.3144,0.9673,0.1108,1.0000,20.1
10,0.2621,0.9896,0.0758,1.0000,21.9
11,0.2221,0.9911,0.0636,1.0000,23.7
12,0.1884,0.9955,0.0429,1.0000,25.4
13,0.1538,0.9970,0.0348,1.0000,27.2
14,0.1199,1.0000,0.0227,1.0000,29.0
15,0.1025,1.0000,0.0172,1.0000,30.7
16,0.0844,0.9985,0.0162,1.0000,32.6
17,0.0770,1.0000,0.0115,1.0000,34.3
18,0.0722,0.9985,0.0096,1.0000,36.1
19,0.0684,0.9985,0.0068,1.0000,37.8
20,0.0541,1.0000,0.0074,1.0000,39.5
21,0.0552,1.0000,0.0058,1.0000,41.3
22,0.0393,1.0000,0.0062,1.0000,43.2
23,0.0402,1.0000,0.0044,1.0000,45.1
24,0.0334,1.0000,0.0030,1.0000,46.9
25,0.0350,1.0000,0.0033,1.0000,48.6
26,0.0305,1.0000,0.0028,1.0000,50.4
27,0.0314,1.0000,0.0032,1.0000,52.3
28,0.0305,1.0000,0.0023,1.0000,54.0
29,0.0279,0.9985,0.0022,1.0000,55.8
30,0.0270,0.9985,0.0016,1.0000,57.6
31,0.0246,1.0000,0.0016,1.0000,59.4
32,0.0215,0.9985,0.0015,1.0000,61.2
33,0.0203,1.0000,0.0014,1.0000,63.0
34,0.0205,1.0000,0.0014,1.0000,64.8
35,0.0192,0.9985,0.0013,1.0000,66.6
36,0.0169,1.0000,0.0011,1.0000,68.4
37,0.0173,1.0000,0.0015,1.0000,70.2
38,0.0168,1.0000,0.0009,1.0000,72.0
39,0.0170,0.9985,0.0009,1.0000,73.8
40,0.0186,1.0000,0.0007,1.0000,75.6
41,0.0139,1.0000,0.0007,1.0000,77.4
42,0.0146,0.9985,0.0005,1.0000,79.1
43,0.0130,1.0000,0.0006,1.0000,81.0
44,0.0108,1.0000,0.0006,1.0000,82.7
45,0.0132,0.9985,0.0006,1.0000,84.5
46,0.0098,1.0000,0.0004,1.0000,86.3
47,0.0103,1.0000,0.0004,1.0000,88.1
48,0.0098,1.0000,0.0004,1.0000,89.8
49,0.0154,1.0000,0.0003,1.0000,91.5
50,0.0123,1.0000,0.0003,1.0000,93.3
51,0.0080,1.0000,0.0004,1.0000,95.1
52,0.0066,1.0000,0.0003,1.0000,96.9
53,0.0094,1.0000,0.0003,1.0000,98.6
54,0.0102,1.0000,0.0002,1.0000,100.5
55,0.0089,1.0000,0.0004,1.0000,102.2
56,0.0057,1.0000,0.0002,1.0000,104.0
57,0.0088,1.0000,0.0004,1.0000,105.8
58,0.0062,1.0000,0.0002,1.0000,107.6
59,0.0086,1.0000,0.0005,1.0000,109.4
60,0.0085,1.0000,0.0003,1.0000,111.1
