epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,0.7528,0.7723,0.1783,0.9861,1.8
2,0.0780,0.9821,0.0087,1.0000,3.7
3,0.0180,1.0000,0.0011,1.0000,5.5
4,0.0061,1.0000,0.0004,1.0000,7.3
5,0.0034,1.0000,0.0003,1.0000,9.1
6,0.0038,1.0000,0.0002,1.0000,11.1
7,0.0062,0.9970,0.0007,1.0000,12.8
8,0.0041,1.0000,0.0004,1.0000,14.6
9,0.0020,1.0000,0.0001,1.0000,16.4
10,0.0019,1.0000,0.0001,1.0000,18.2
11,0.0019,1.0000,0.0001,1.0000,20.0
12,0.0017,1.0000,0.0001,1.0000,21.9
13,0.0013,1.0000,0.0000,1.0000,23.7
14,0.0016,1.0000,0.0000,1.0000,25.5
15,0.0010,1.0000,0.0000,1.0000,27.2
16,0.0010,1.0000,0.0000,1.0000,29.0
17,0.0007,1.0000,0.0000,1.0000,30.8
18,0.0022,1.0000,0.0002,1.0000,32.7
19,0.0011,1.0000,0.0000,1.0000,34.5
20,0.0013,1.0000,0.0000,1.0000,36.3
21,0.0019,1.0000,0.0000,1.0000,38.2
22,0.0009,1.0000,0.0000,1.0000,39.9
23,0.0006,1.0000,0.0000,1.0000,41.7
24,0.0004,1.0000,0.0000,1.0000,43.5
25,0.0004,1.0000,0.0000,1.0000,45.3
26,0.0008,1.0000,0.0000,1.0000,47.2
27,0.0006,1.0000,0.0000,1.0000,49.0
28,0.0004,1.0000,0.0000,1.0000,50.8
29,0.0003,1.0000,0.0000,1.0000,52.5
30,0.0002,1.0000,0.0000,1.0000,54.3
31,0.0007,1.0000,0.0000,1.0000,56.2
32,0.0003,1.0000,0.0000,1.0000,58.1
33,0.0021,0.9985,0.0000,1.0000,59.9
34,0.0117,0.9985,0.0002,1.0000,61.8
35,0.0103,0.9955,0.0087,1.0000,63.6
36,0.0266,0.9940,0.0008,1.0000,65.5
37,0.0133,0.9970,0.0002,1.0000,67.4
38,0.0165,0.9955,0.0053,1.0000,69.1
39,0.0172,0.9926,0.1743,0.9792,71.0
40,0.0307,0.9940,0.0001,1.0000,72.7
41,0.0035,1.0000,0.0003,1.0000,74.5
42,0.0045,0.9985,0.0000,1.0000,76.3
43,0.0062,0.9970,0.0000,1.0000,78.2
44,0.0022,1.0000,0.0000,1.0000,80.1
45,0.0005,1.0000,0.0000,1.0000,82.0
46,0.0005,1.0000,0.0000,1.0000,83.8
47,0.0001,1.0000,0.0000,1.0000,85.7
48,0.0006,1.0000,0.0000,1.0000,87.5
49,0.0021,0.9985,0.0000,1.0000,89.3
50,0.0016,0.9985,0.0000,1.0000,91.1
51,0.0002,1.0000,0.0000,1.0000,92.9
52,0.0006,1.0000,0.0000,1.0000,94.8
53,0.0010,1.0000,0.0000,1.0000,96.6
54,0.0008,1.0000,0.0000,1.0000,98.4
55,0.0012,1.0000,0.0000,1.0000,100.3
56,0.0060,0.9985,0.0000,1.0000,102.1
57,0.0128,0.9985,0.0001,1.0000,104.0
58,0.0008,1.0000,0.0000,1.0000,105.7
59,0.0001,1.0000,0.0000,1.0000,107.5
60,0.0013,1.0000,0.0000,1.0000,109.5
