epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,2.1917,0.4598,1.9336,0.7153,1.7
2,1.6642,0.5640,1.2511,0.7153,3.3
3,1.3602,0.6265,0.9831,0.7639,4.8
4,1.2046,0.6577,0.8689,0.8264,6.6
5,1.0893,0.6905,0.7422,0.8264,8.2
6,0.9579,0.7232,0.6421,0.8750,10.0
7,0.8663,0.7753,0.5388,0.9444,12.0
8,0.7485,0.8244,0.4762,0.9306,13.7
9,0.6691,0.8705,0.3920,0.9792,15.5
10,0.5977,0.8795,0.3486,0.9931,17.2
11,0.5299,0.8854,0.2873,1.0000,19.0
12,0.4812,0.9315,0.2532,1.0000,20.8
13,0.4245,0.9301,0.2190,1.0000,22.6
14,0.3856,0.9524,0.1764,1.0000,24.3
15,0.3357,0.9509,0.1519,1.0000,26.0
16,0.3075,0.9658,0.1274,1.0000,27.6
17,0.2694,0.9747,0.1096,1.0000,29.3
18,0.2389,0.9777,0.1007,1.0000,31.2
19,0.2314,0.9866,0.0750,1.0000,33.1
20,0.1982,0.9807,0.0649,1.0000,34.9
21,0.1758,0.9911,0.0503,1.0000,36.4
22,0.1688,0.9940,0.0446,1.0000,38.2
23,0.1267,0.9970,0.0414,1.0000,39.9
24,0.1230,0.9970,0.0317,1.0000,41.7
25,0.1165,0.9926,0.0342,1.0000,43.6
26,0.1013,0.9940,0.0215,1.0000,45.6
27,0.0847,0.9970,0.0208,1.0000,47.3
28,0.0755,0.9985,0.0147,1.0000,49.2
29,0.0704,0.9985,0.0120,1.0000,50.8
30,0.0668,0.9970,0.0128,1.0000,52.6
31,0.0552,0.9985,0.0092,1.0000,54.1
32,0.0545,1.0000,0.0081,1.0000,56.0
33,0.0540,1.0000,0.0074,1.0000,57.8
34,0.0549,0.9985,0.0068,1.0000,59.5
35,0.0354,1.0000,0.0061,1.0000,61.3
36,0.0388,0.9970,0.0048,1.0000,63.2
37,0.0452,0.9985,0.0046,1.0000,65.0
38,0.0363,1.0000,0.0040,1.0000,66.6
39,0.0365,0.9985,0.0042,1.0000,68.3
40,0.0291,0.9985,0.0047,1.0000,69.8
41,0.0322,1.0000,0.0059,1.0000,71.4
42,0.0289,0.9985,0.0031,1.0000,73.1
43,0.0263,1.0000,0.0029,1.0000,74.7
44,0.0263,1.0000,0.0039,1.0000,76.5
45,0.0223,1.0000,0.0023,1.0000,78.2
46,0.0274,1.0000,0.0023,1.0000,79.8
47,0.0263,1.0000,0.0030,1.0000,81.6
48,0.0271,0.9985,0.0027,1.0000,83.1
49,0.0213,1.0000,0.0021,1.0000,84.7
50,0.0268,0.9970,0.0024,1.0000,86.5
51,0.0324,0.9970,0.0030,1.0000,88.2
52,0.0211,1.0000,0.0032,1.0000,90.1
53,0.0155,0.9985,0.0020,1.0000,91.6
54,0.0184,1.0000,0.0012,1.0000,93.3
55,0.0142,1.0000,0.0012,1.0000,94.9
56,0.0168,1.0000,0.0010,1.0000,96.6
57,0.0129,1.0000,0.0010,1.0000,98.3
58,0.0121,1.0000,0.0008,1.0000,100.2
59,0.0158,1.0000,0.0010,1.0000,101.8
60,0.0171,1.0000,0.0016,1.0000,103.5
