epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.3763,0.0565,3.2977,0.0486,1.7
2,3.1930,0.1027,3.0442,0.1181,3.6
3,3.0233,0.1443,2.8153,0.2083,5.3
4,2.8625,0.1667,2.6209,0.1597,7.4
5,2.6784,0.2455,2.4270,0.2222,9.3
6,2.4885,0.2411,2.3255,0.2986,11.1
7,2.3545,0.3021,2.1412,0.3125,12.9
8,2.2659,0.2634,2.0100,0.2986,14.7
9,2.1582,0.3051,1.9327,0.2500,16.3
10,2.0608,0.3006,1.8456,0.3056,18.1
11,1.9496,0.3527,1.7770,0.4167,19.7
12,1.9042,0.3795,1.7074,0.4236,21.5
13,1.8022,0.4301,1.6702,0.4028,23.3
14,1.7520,0.4137,1.5823,0.5278,25.2
15,1.6679,0.4732,1.5334,0.4931,26.6
16,1.6122,0.4896,1.4736,0.5417,28.3
17,1.5354,0.5357,1.3852,0.7361,30.0
18,1.5119,0.5506,1.3120,0.6736,31.6
19,1.4372,0.5848,1.2670,0.6875,33.2
20,1.3741,0.5952,1.2061,0.7361,34.8
21,1.3256,0.6190,1.1612,0.7292,36.3
22,1.2854,0.6443,1.1358,0.6597,37.9
23,1.2493,0.6369,1.0647,0.7083,39.3
24,1.1801,0.6860,1.0181,0.7569,40.9
25,1.1556,0.6667,0.9744,0.7986,42.5
26,1.1241,0.6637,0.9297,0.8194,44.0
27,1.0979,0.6845,0.9276,0.7639,45.7
28,1.0559,0.7188,0.8748,0.8194,47.4
29,1.0115,0.7292,0.8178,0.8403,49.2
30,0.9867,0.7173,0.8283,0.7361,50.9
31,0.9684,0.6994,0.8356,0.7708,52.5
32,0.9142,0.7500,0.7569,0.7639,54.3
33,0.8968,0.7515,0.6940,0.8333,56.0
34,0.8700,0.7679,0.6687,0.8750,57.7
35,0.8349,0.7738,0.6861,0.7708,59.3
36,0.8163,0.7679,0.6829,0.7778,61.0
37,0.7968,0.7842,0.6448,0.7986,62.7
38,0.7530,0.7902,0.6365,0.7708,64.4
39,0.7368,0.7991,0.5740,0.7708,66.2
40,0.7663,0.7693,0.5588,0.8403,67.8
41,0.6986,0.8080,0.5509,0.8125,69.5
42,0.6639,0.8318,0.4935,0.9028,71.2
43,0.6847,0.8259,0.5127,0.8056,73.0
44,0.6522,0.8155,0.4723,0.9167,74.8
45,0.6225,0.8199,0.4452,0.9583,76.6
46,0.6075,0.8452,0.4231,0.9444,78.3
47,0.5911,0.8646,0.4284,0.9028,80.0
48,0.6115,0.8333,0.4180,0.8889,81.7
49,0.5552,0.8795,0.3659,0.9444,83.5
50,0.5205,0.8839,0.3414,0.9653,85.2
51,0.5337,0.8735,0.3714,0.9306,87.0
52,0.5169,0.8735,0.3195,0.9514,88.8
53,0.4986,0.8780,0.3234,1.0000,90.5
54,0.4661,0.8869,0.2940,1.0000,92.4
55,0.4635,0.8973,0.2922,0.9444,94.0
56,0.4591,0.8869,0.2544,1.0000,95.8
57,0.4423,0.9122,0.2389,1.0000,97.6
58,0.4554,0.8929,0.2299,1.0000,99.3
59,0.4112,0.9241,0.2265,0.9653,101.0
60,0.4207,0.9122,0.2138,0.9653,102.7
