epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.4103,0.0580,3.4035,0.0556,1.8
2,3.2525,0.1190,3.1996,0.2431,3.6
3,3.0607,0.1786,2.9298,0.1944,5.2
4,2.8538,0.2336,2.6977,0.1944,6.8
5,2.6498,0.2783,2.4901,0.3056,8.5
6,2.4283,0.3289,2.2823,0.2986,10.3
7,2.2809,0.3170,2.1386,0.3403,11.9
8,2.1324,0.3690,1.9618,0.4097,13.6
9,1.9799,0.4182,1.8384,0.4514,15.3
10,1.8414,0.4732,1.7144,0.4653,17.1
11,1.7809,0.4673,1.6424,0.5069,18.7
12,1.6869,0.5193,1.5389,0.5556,20.3
13,1.5621,0.5833,1.4137,0.7639,22.0
14,1.4891,0.5893,1.3369,0.6528,23.8
15,1.3840,0.6161,1.2824,0.6875,25.4
16,1.3215,0.6161,1.2334,0.7847,27.2
17,1.2681,0.6622,1.1376,0.7639,28.8
18,1.2138,0.6622,1.0921,0.7292,30.2
19,1.1571,0.6949,1.0438,0.8264,32.0
20,1.0949,0.7054,0.9619,0.7292,33.7
21,1.0158,0.7470,0.9046,0.8681,35.2
22,0.9739,0.7366,0.8428,0.7917,37.0
23,0.9344,0.7783,0.8397,0.8194,38.8
24,0.8968,0.7783,0.7670,0.8611,40.5
25,0.9030,0.7500,0.7143,0.8333,42.2
26,0.8120,0.7917,0.6709,0.8472,43.8
27,0.7675,0.8452,0.6535,0.8819,45.6
28,0.7242,0.8318,0.5706,0.9375,47.2
29,0.7127,0.8333,0.5464,1.0000,48.9
30,0.6574,0.8467,0.5249,1.0000,50.6
31,0.6414,0.8646,0.5075,0.9375,52.2
32,0.6015,0.8601,0.4621,0.9514,53.9
33,0.5931,0.8720,0.4793,1.0000,55.6
34,0.5638,0.8690,0.4050,0.9653,57.5
35,0.5460,0.9018,0.3789,0.9653,59.2
36,0.5101,0.9003,0.3567,1.0000,60.8
37,0.4881,0.9241,0.3473,1.0000,62.4
38,0.4455,0.9226,0.3339,1.0000,64.1
39,0.4353,0.9330,0.2851,1.0000,65.8
40,0.4507,0.9315,0.2955,0.9792,67.6
41,0.4141,0.9449,0.2642,1.0000,69.3
42,0.3644,0.9494,0.2468,0.9653,71.0
43,0.3552,0.9524,0.2496,0.9653,72.9
44,0.3568,0.9539,0.1908,1.0000,74.5
45,0.3194,0.9613,0.1928,0.9653,76.1
46,0.3111,0.9628,0.2151,0.9653,77.8
47,0.2825,0.9836,0.1768,0.9931,79.5
48,0.3044,0.9628,0.1540,1.0000,81.2
49,0.2769,0.9598,0.1789,1.0000,82.7
50,0.2573,0.9673,0.1254,1.0000,84.4
51,0.2316,0.9792,0.1309,1.0000,85.9
52,0.2536,0.9628,0.1307,1.0000,87.6
53,0.2087,0.9896,0.2466,0.9028,89.2
54,0.2188,0.9792,0.1033,1.0000,90.6
55,0.2254,0.9747,0.0767,1.0000,92.3
56,0.1991,0.9836,0.1074,1.0000,94.1
57,0.1853,0.9851,0.0703,1.0000,95.7
58,0.1773,0.9866,0.0641,1.0000,97.3
59,0.1764,0.9821,0.0889,0.9931,98.9
60,0.1757,0.9881,0.0567,1.0000,100.6
