epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.1939,0.4226,2.9589,0.3472,1.9
2,2.8192,0.5893,2.5509,0.7569,3.6
3,2.5580,0.6935,2.2976,0.9097,5.4
4,2.3674,0.7619,2.1271,0.9236,7.4
5,2.1840,0.7961,1.9345,1.0000,9.1
6,2.0233,0.8423,1.8050,0.9792,10.9
7,1.9031,0.8542,1.6723,0.9722,12.8
8,1.7707,0.8988,1.5746,1.0000,14.7
9,1.7137,0.9062,1.5363,0.9236,16.5
10,1.6081,0.9137,1.4139,0.9653,18.3
11,1.4928,0.9375,1.2816,1.0000,20.1
12,1.4547,0.9301,1.2589,1.0000,21.9
13,1.3615,0.9494,1.1912,1.0000,23.8
14,1.3251,0.9673,1.1375,1.0000,25.6
15,1.2365,0.9598,1.0165,1.0000,27.4
16,1.2027,0.9688,1.0842,0.9653,29.2
17,1.1282,0.9673,0.9158,1.0000,30.9
18,1.0586,0.9762,0.8207,1.0000,32.7
19,1.0467,0.9792,0.8942,0.9931,34.6
20,1.0024,0.9792,1.0623,0.9653,36.4
21,0.9489,0.9792,0.6650,1.0000,38.2
22,0.9092,0.9747,0.7777,0.9792,40.0
23,0.8322,0.9851,0.5685,1.0000,41.8
24,0.8403,0.9821,0.5428,1.0000,43.5
25,0.8055,0.9762,0.6016,0.9861,45.3
26,0.7430,0.9881,0.4611,1.0000,47.2
27,0.7105,0.9851,0.4308,1.0000,49.0
28,0.6802,0.9792,0.3757,1.0000,50.9
29,0.6407,0.9866,0.3656,1.0000,52.7
30,0.6144,0.9807,0.3429,1.0000,54.5
31,0.6236,0.9911,0.5472,0.9861,56.4
32,0.6372,0.9747,0.3065,1.0000,58.2
33,0.5793,0.9866,0.3051,1.0000,60.1
34,0.5556,0.9881,0.3303,1.0000,62.0
35,0.5155,0.9792,0.2230,1.0000,63.9
36,0.5121,0.9911,0.2379,1.0000,65.7
37,0.5154,0.9911,0.2052,1.0000,67.4
38,0.4895,0.9851,0.1821,1.0000,69.2
39,0.4564,0.9851,0.2278,1.0000,71.0
40,0.4651,0.9881,0.1641,1.0000,72.9
41,0.3981,0.9970,0.1489,1.0000,74.7
42,0.4506,0.9836,0.3066,0.9792,76.5
43,0.4423,0.9777,0.1937,1.0000,78.3
44,0.4454,0.9851,0.1511,1.0000,80.1
45,0.4560,0.9851,0.3234,1.0000,82.0
46,0.4069,0.9851,0.1557,1.0000,83.8
47,0.3864,0.9926,0.1379,1.0000,85.6
48,0.3956,0.9881,0.1208,1.0000,87.4
49,0.3905,0.9807,0.1671,1.0000,89.2
50,0.3883,0.9851,0.1970,1.0000,91.0
51,0.3962,0.9836,0.1316,1.0000,92.9
52,0.3921,0.9881,0.0966,1.0000,94.7
53,0.3614,0.9836,0.0979,1.0000,96.5
54,0.3568,0.9851,0.0849,1.0000,98.4
55,0.3367,0.9866,0.1070,1.0000,100.2
56,0.3584,0.9896,0.1162,1.0000,102.0
57,0.3469,0.9881,0.0767,1.0000,103.7
58,0.3084,0.9851,0.0777,1.0000,105.6
59,0.3017,0.9866,0.0971,1.0000,107.4
60,0.3171,0.9851,0.0751,1.0000,109.3
