epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,4.7621,0.4524,4.0493,0.6042,1.8
2,4.0251,0.5610,3.4676,0.7153,3.6
3,3.6365,0.6458,2.9401,0.8472,5.5
4,3.1478,0.7009,2.5600,0.9306,7.4
5,2.7784,0.7872,2.2074,0.9306,9.2
6,2.4609,0.8333,1.8754,0.9722,11.0
7,2.1537,0.8571,1.5513,0.9861,12.8
8,1.9454,0.8690,1.3080,1.0000,14.7
9,1.7328,0.9092,1.0845,1.0000,16.5
10,1.5046,0.9167,0.9027,1.0000,18.5
11,1.3254,0.9286,0.8479,1.0000,20.4
12,1.2209,0.9405,0.6889,1.0000,22.2
13,1.0458,0.9673,0.5440,1.0000,23.9
14,0.9719,0.9673,0.5021,1.0000,25.6
15,0.8299,0.9628,0.3589,1.0000,27.4
16,0.7524,0.9702,0.3144,1.0000,29.2
17,0.6141,0.9866,0.2483,1.0000,31.0
18,0.5800,0.9881,0.2195,1.0000,32.9
19,0.5201,0.9821,0.1622,1.0000,34.7
20,0.4455,0.9851,0.1320,1.0000,36.5
21,0.4373,0.9881,0.1028,1.0000,38.4
22,0.3970,0.9970,0.0946,1.0000,40.2
23,0.3435,0.9851,0.1000,1.0000,41.9
24,0.3155,0.9940,0.0668,1.0000,43.7
25,0.2907,0.9940,0.0606,1.0000,45.6
26,0.2510,0.9955,0.0526,1.0000,47.4
27,0.2580,0.9955,0.0422,1.0000,49.2
28,0.2454,0.9970,0.0363,1.0000,51.1
29,0.2346,0.9940,0.0427,1.0000,53.0
30,0.2151,0.9926,0.0342,1.0000,54.8
31,0.2073,0.9955,0.0289,1.0000,56.7
32,0.2057,0.9955,0.0341,1.0000,58.6
33,0.1976,0.9896,0.0160,1.0000,60.4
34,0.2079,0.9955,0.0211,1.0000,62.3
35,0.1647,0.9926,0.0168,1.0000,64.1
36,0.1554,1.0000,0.0206,1.0000,65.8
37,0.1676,0.9940,0.0211,1.0000,67.6
38,0.1564,0.9970,0.0136,1.0000,69.4
39,0.1355,0.9985,0.0102,1.0000,71.2
40,0.1537,0.9970,0.0110,1.0000,73.1
41,0.1387,0.9985,0.0118,1.0000,75.0
42,0.1040,0.9985,0.0099,1.0000,76.8
43,0.1011,0.9940,0.0092,1.0000,78.6
44,0.0998,1.0000,0.0102,1.0000,80.4
45,0.1192,0.9955,0.0058,1.0000,82.2
46,0.1156,1.0000,0.0065,1.0000,83.9
47,0.1427,0.9955,0.0269,1.0000,85.7
48,0.1097,1.0000,0.0091,1.0000,87.5
49,0.0779,1.0000,0.0088,1.0000,89.4
50,0.1209,0.9926,0.0291,1.0000,91.2
51,0.0846,0.9985,0.0236,1.0000,93.1
52,0.0925,0.9940,0.0101,1.0000,95.0
53,0.0805,0.9970,0.0051,1.0000,96.9
54,0.0987,0.9940,0.0107,1.0000,98.7
55,0.0856,1.0000,0.0086,1.0000,100.5
56,0.0792,1.0000,0.0046,1.0000,102.3
57,0.0767,0.9970,0.0053,1.0000,104.3
58,0.0740,0.9985,0.0034,1.0000,106.2
59,0.0693,0.9911,0.0031,1.0000,108.0
60,0.0568,0.9970,0.0024,1.0000,109.8
