epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.6075,1.0000,0.0000,1.0000,4.2
2,3.1495,1.0000,0.0000,1.0000,8.4
3,2.9665,1.0000,0.0000,1.0000,12.7
4,2.8572,1.0000,0.0000,1.0000,16.8
5,2.7330,1.0000,0.0000,1.0000,20.9
6,2.7194,1.0000,0.0000,1.0000,25.0
7,2.6071,1.0000,0.0000,1.0000,29.2
8,2.5345,1.0000,0.0000,1.0000,33.4
9,2.4644,1.0000,0.0000,1.0000,37.5
10,2.4963,1.0000,0.0000,1.0000,41.7
11,2.4159,1.0000,0.0000,1.0000,45.8
12,2.3480,1.0000,0.0000,1.0000,49.9
13,2.3172,1.0000,0.0000,1.0000,54.1
14,2.3442,1.0000,0.0000,1.0000,58.4
15,2.2447,1.0000,0.0000,1.0000,62.5
16,2.2743,1.0000,0.0000,1.0000,66.8
17,2.1985,1.0000,0.0000,1.0000,71.0
18,2.1605,1.0000,0.0000,1.0000,75.1
19,2.1502,1.0000,0.0000,1.0000,79.3
20,2.1299,1.0000,0.0000,1.0000,83.5
21,2.0991,1.0000,0.0000,1.0000,87.7
22,2.0449,1.0000,0.0000,1.0000,91.9
23,2.0659,1.0000,0.0000,1.0000,96.1
24,2.0650,1.0000,0.0000,1.0000,100.2
25,2.0756,1.0000,0.0000,1.0000,104.3
26,2.0205,1.0000,0.0000,1.0000,108.4
27,1.9876,1.0000,0.0000,1.0000,112.7
28,2.0409,1.0000,0.0000,1.0000,116.8
29,2.0140,1.0000,0.0000,1.0000,121.1
30,2.0229,1.0000,0.0000,1.0000,125.4
31,1.9445,1.0000,0.0000,1.0000,129.6
32,1.9751,1.0000,0.0000,1.0000,133.7
33,2.0113,1.0000,0.0000,1.0000,138.0
34,1.9118,1.0000,0.0000,1.0000,142.2
35,1.9853,1.0000,0.0000,1.0000,146.4
36,1.9802,1.0000,0.0000,1.0000,150.6
37,1.9604,1.0000,0.0000,1.0000,154.9
38,1.9281,1.0000,0.0000,1.0000,159.1
39,1.9759,1.0000,0.0000,1.0000,163.4
40,1.9881,1.0000,0.0000,1.0000,167.5
41,1.8898,1.0000,0.0000,1.0000,171.7
42,1.8355,1.0000,0.0000,1.0000,175.7
43,1.8857,1.0000,0.0000,1.0000,179.9
44,1.8533,1.0000,0.0000,1.0000,183.9
45,1.8887,1.0000,0.0000,1.0000,188.2
46,1.9025,1.0000,0.0000,1.0000,192.3
47,1.8812,1.0000,0.0000,1.0000,196.6
48,1.8631,1.0000,0.0000,1.0000,200.8
49,1.7865,1.0000,0.0000,1.0000,205.1
50,1.8448,1.0000,0.0000,1.0000,209.2
51,1.8215,1.0000,0.0000,1.0000,213.5
52,1.8269,1.0000,0.0000,1.0000,217.7
53,1.8464,1.0000,0.0000,1.0000,222.0
54,1.7250,1.0000,0.0000,1.0000,226.3
55,1.7802,1.0000,0.0000,1.0000,230.6
56,1.7089,1.0000,0.0000,1.0000,234.6
57,1.6827,1.0000,0.0000,1.0000,238.8
58,1.7683,1.0000,0.0000,1.0000,243.0
59,1.7332,1.0000,0.0000,1.0000,247.2
60,1.6823,1.0000,0.0000,1.0000,251.3
