epoch,train_loss,train_acc,val_loss,val_acc,wall_s
1,3.4056,0.0640,3.3260,0.0556,2.0
2,3.2402,0.1250,3.1282,0.1181,3.8
3,3.1271,0.1637,3.0042,0.2222,5.6
4,3.0162,0.1875,2.8720,0.1597,7.3
5,2.9065,0.2574,2.7776,0.2361,9.1
6,2.8306,0.2574,2.6939,0.4167,10.8
7,2.7742,0.3065,2.6504,0.4306,12.6
8,2.7170,0.3497,2.6000,0.5278,14.5
9,2.6677,0.3988,2.5625,0.4931,16.3
10,2.6398,0.3854,2.5184,0.4861,18.2
11,2.5925,0.4494,2.4734,0.6528,20.1
12,2.5511,0.4955,2.4518,0.6736,21.9
13,2.5112,0.5298,2.3929,0.6667,23.8
14,2.4988,0.5402,2.3635,0.6736,25.6
15,2.4681,0.5789,2.3261,0.7222,27.3
16,2.4435,0.5536,2.3161,0.6042,29.1
17,2.4074,0.6324,2.2781,0.7292,30.9
18,2.3775,0.6503,2.2922,0.5972,32.7
19,2.3598,0.6577,2.2289,0.9028,34.5
20,2.3476,0.6488,2.2117,0.7569,36.3
21,2.3315,0.7188,2.1832,0.8681,38.2
22,2.3212,0.6845,2.2191,0.7917,40.0
23,2.2989,0.7307,2.1644,0.8403,41.9
24,2.2774,0.7292,2.1511,0.9236,43.6
25,2.2655,0.7753,2.1692,0.6875,45.4
26,2.2526,0.7664,2.1392,0.7778,47.3
27,2.2399,0.7664,2.1036,0.9306,49.1
28,2.2299,0.7917,2.1507,0.7986,50.8
29,2.2078,0.8244,2.1846,0.7292,52.7
30,2.2012,0.7917,2.0551,0.9444,54.5
31,2.1879,0.8542,2.0309,0.9583,56.3
32,2.1709,0.8527,2.0076,0.9583,58.1
33,2.1580,0.8571,1.9996,0.9931,59.9
34,2.1516,0.8795,1.9752,1.0000,61.7
35,2.1560,0.8467,2.0409,0.9306,63.6
36,2.1424,0.8750,1.9593,1.0000,65.4
37,2.1219,0.8810,1.9529,1.0000,67.3
38,2.1205,0.8973,1.9634,1.0000,69.1
39,2.1145,0.8914,1.9643,1.0000,70.9
40,2.1310,0.8690,1.9545,0.9653,72.7
41,2.0842,0.9167,1.9287,1.0000,74.4
42,2.0976,0.9003,1.9223,1.0000,76.1
43,2.0709,0.9196,1.9391,1.0000,77.8
44,2.0752,0.9226,1.8922,1.0000,79.6
45,2.0569,0.9330,1.9106,1.0000,81.4
46,2.0756,0.9286,1.9638,0.9375,83.1
47,2.0730,0.9092,1.9104,1.0000,84.8
48,2.0464,0.9509,1.8796,1.0000,86.6
49,2.0611,0.9226,1.9921,0.9236,88.3
50,2.0600,0.9405,1.9293,1.0000,90.0
51,2.0574,0.9345,2.0157,0.8681,91.8
52,2.0553,0.9345,1.8881,1.0000,93.6
53,2.0602,0.9360,1.9427,1.0000,95.3
54,2.0443,0.9375,1.8647,1.0000,97.1
55,2.0481,0.9449,1.8732,1.0000,98.9
56,2.0384,0.9420,1.9155,1.0000,100.6
57,2.0370,0.9449,1.8694,1.0000,102.4
58,2.0402,0.9301,1.8918,1.0000,104.3
59,2.0345,0.9479,1.8614,1.0000,106.0
60,2.0389,0.9420,1.9020,1.0000,107.9
